Grid Demand [W],PV Gen [W],Day-ahead Price [EUR/MWh]
-13475.520833333334,0.0,81.57
-13472.824267782427,0.0,75.9
-14105.166666666666,0.0,73.73
-12782.541666666666,0.0,72.01
-13033.75,0.0,71.24
-14648.875,0.0,73.96
-12692.708333333334,228.2875,84.91
-12445.041666666666,3067.6666666666665,95.95
-12820.583333333334,6765.3875,98.5
-13939.25,8017.025,96.4
-8890.627615062762,12262.807531380751,94.96
-10394.854166666666,11767.520833333334,96.51
-4663.041666666667,16074.5875,93.51
-6395.708333333333,18494.729166666668,90.19
-14230.4375,8341.633333333333,85.67
-12445.794979079496,10710.912133891214,85.0
-5793.1875,14923.358333333334,85.68
-8065.604166666667,9637.758333333331,95.91
-7104.604166666667,9914.858333333334,99.98
-9193.041666666666,6316.820833333333,103.77
-11949.208333333334,3159.4125,100.34
-12986.6875,91.04166666666669,99.51
-12762.458333333334,0.0,98.17
-12466.541666666666,0.0,91.99
-13040.854166666666,0.0,90.77
-12284.375,0.0,85.36
-12487.791666666666,0.0,82.18
-13194.770833333334,0.0,82.35
-12020.041666666666,0.0,83.22
-11458.583333333334,53.2625,86.68
-9276.395833333334,3648.595833333333,102.0
-4176.1875,10170.5625,112.0
109.72916666666669,20278.88333333333,122.5
1535.7083333333333,30046.304166666665,107.24
2861.8125,31460.966666666667,102.54
9559.020833333334,42843.1625,100.0
12918.895833333334,37799.3375,99.61
14427.604166666666,36079.73333333333,89.84
16392.5,38083.85416666666,82.37
19794.9375,41101.38333333333,82.53
14198.791666666666,32980.8125,82.57
10514.979166666666,28032.408333333333,94.23
2963.125,19140.166666666668,99.98
166.54166666666666,11114.7375,110.0
-857.0833333333334,2981.2541666666666,109.49
-3936.875,95.99166666666666,105.55
-8700.520833333334,0.0,105.02
-8520.6875,0.0,99.98
-11126.833333333334,0.0,92.64
-11260.20920502092,0.0,84.39
-11471.395833333334,0.0,80.9
-11724.791666666666,0.0,77.57
-10710.666666666666,0.0,74.05
-10894.895833333334,194.8708333333333,74.06
-8876.895833333334,3335.545833333333,78.97
-2782.625,9698.8625,81.45
128.0,19343.925,83.03
1938.375,28035.866666666665,79.34
8270.0,37206.9,74.06
25559.125,42824.9625,70.0
27035.27083333333,40798.91666666666,67.04
32023.625,46738.225,65.0
32189.70833333333,46340.2,66.6
27356.354166666668,41678.39166666667,73.0
17026.291666666668,31270.9,75.2
2744.2291666666665,15141.041666666666,85.45
-605.1875,6074.258333333333,95.44
-244.58333333333331,6279.733333333334,106.96
-757.4166666666666,2865.5583333333334,107.43
-8138.104166666667,112.5125,106.97
-9167.9375,0.0,106.95
-9086.0,0.0,100.0
-13150.375,0.0,94.18
-12149.604166666666,0.0,86.74
-11804.104166666666,0.0,80.05
-12757.9375,0.0,75.61
-12114.541666666666,0.0,75.03
-12369.208333333334,281.4458333333333,73.99
-9846.020833333334,3177.9,74.5
-4979.541666666667,8818.716666666667,75.42
50.125,15650.954166666666,78.68
313.8958333333333,16490.7625,77.08
2353.833333333333,25770.77083333333,75.24
471.8333333333333,20697.74583333333,78.03
-236.5625,12187.208333333334,78.02
-86.45833333333333,7074.858333333334,74.0
400.5416666666667,17130.470833333333,69.26
4013.1041666666665,29975.841666666667,69.07
5044.229166666667,23528.99583333333,77.03
787.4375,6658.4125,83.07
-0.1875,7695.029166666666,93.85
-250.75,5238.466666666666,99.54
-3050.5,2273.4041666666667,100.0
-8038.9375,229.4958333333333,102.09
-8856.354166666666,0.0,104.92
-10609.125,0.0,95.73
-12072.583333333334,0.0,81.55
-11441.359832635982,0.0,75.22
-12021.041666666666,0.0,74.01
-12317.75,0.0,72.01
-12459.833333333334,0.0,71.54
-12036.104166666666,136.95833333333334,74.09
-10095.9375,1711.3041666666666,91.57
