"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]"
"01.07.2021 00:00 - 01.07.2021 01:00","81.57"
"01.07.2021 01:00 - 01.07.2021 02:00","75.90"
"01.07.2021 02:00 - 01.07.2021 03:00","73.73"
"01.07.2021 03:00 - 01.07.2021 04:00","72.01"
"01.07.2021 04:00 - 01.07.2021 05:00","71.24"
"01.07.2021 05:00 - 01.07.2021 06:00","73.96"
"01.07.2021 06:00 - 01.07.2021 07:00","84.91"
"01.07.2021 07:00 - 01.07.2021 08:00","95.95"
"01.07.2021 08:00 - 01.07.2021 09:00","98.50"
"01.07.2021 09:00 - 01.07.2021 10:00","96.40"
"01.07.2021 10:00 - 01.07.2021 11:00","94.96"
"01.07.2021 11:00 - 01.07.2021 12:00","96.51"
"01.07.2021 12:00 - 01.07.2021 13:00","93.51"
"01.07.2021 13:00 - 01.07.2021 14:00","90.19"
"01.07.2021 14:00 - 01.07.2021 15:00","85.67"
"01.07.2021 15:00 - 01.07.2021 16:00","85.00"
"01.07.2021 16:00 - 01.07.2021 17:00","85.68"
"01.07.2021 17:00 - 01.07.2021 18:00","95.91"
"01.07.2021 18:00 - 01.07.2021 19:00","99.98"
"01.07.2021 19:00 - 01.07.2021 20:00","103.77"
"01.07.2021 20:00 - 01.07.2021 21:00","100.34"
"01.07.2021 21:00 - 01.07.2021 22:00","99.51"
"01.07.2021 22:00 - 01.07.2021 23:00","98.17"
"01.07.2021 23:00 - 02.07.2021 00:00","91.99"
"02.07.2021 00:00 - 02.07.2021 01:00","90.77"
"02.07.2021 01:00 - 02.07.2021 02:00","85.36"
"02.07.2021 02:00 - 02.07.2021 03:00","82.18"
"02.07.2021 03:00 - 02.07.2021 04:00","82.35"
"02.07.2021 04:00 - 02.07.2021 05:00","83.22"
"02.07.2021 05:00 - 02.07.2021 06:00","86.68"
"02.07.2021 06:00 - 02.07.2021 07:00","102.00"
"02.07.2021 07:00 - 02.07.2021 08:00","112.00"
"02.07.2021 08:00 - 02.07.2021 09:00","122.50"
"02.07.2021 09:00 - 02.07.2021 10:00","107.24"
"02.07.2021 10:00 - 02.07.2021 11:00","102.54"
"02.07.2021 11:00 - 02.07.2021 12:00","100.00"
"02.07.2021 12:00 - 02.07.2021 13:00","99.61"
"02.07.2021 13:00 - 02.07.2021 14:00","89.84"
"02.07.2021 14:00 - 02.07.2021 15:00","82.37"
"02.07.2021 15:00 - 02.07.2021 16:00","82.53"
"02.07.2021 16:00 - 02.07.2021 17:00","82.57"
"02.07.2021 17:00 - 02.07.2021 18:00","94.23"
"02.07.2021 18:00 - 02.07.2021 19:00","99.98"
"02.07.2021 19:00 - 02.07.2021 20:00","110.00"
"02.07.2021 20:00 - 02.07.2021 21:00","109.49"
"02.07.2021 21:00 - 02.07.2021 22:00","105.55"
"02.07.2021 22:00 - 02.07.2021 23:00","105.02"
"02.07.2021 23:00 - 03.07.2021 00:00","99.98"
"03.07.2021 00:00 - 03.07.2021 01:00","92.64"
"03.07.2021 01:00 - 03.07.2021 02:00","84.39"
"03.07.2021 02:00 - 03.07.2021 03:00","80.90"
"03.07.2021 03:00 - 03.07.2021 04:00","77.57"
"03.07.2021 04:00 - 03.07.2021 05:00","74.05"
"03.07.2021 05:00 - 03.07.2021 06:00","74.06"
"03.07.2021 06:00 - 03.07.2021 07:00","78.97"
"03.07.2021 07:00 - 03.07.2021 08:00","81.45"
"03.07.2021 08:00 - 03.07.2021 09:00","83.03"
"03.07.2021 09:00 - 03.07.2021 10:00","79.34"
"03.07.2021 10:00 - 03.07.2021 11:00","74.06"
"03.07.2021 11:00 - 03.07.2021 12:00","70.00"
"03.07.2021 12:00 - 03.07.2021 13:00","67.04"
"03.07.2021 13:00 - 03.07.2021 14:00","65.00"
"03.07.2021 14:00 - 03.07.2021 15:00","66.60"
"03.07.2021 15:00 - 03.07.2021 16:00","73.00"
"03.07.2021 16:00 - 03.07.2021 17:00","75.20"
"03.07.2021 17:00 - 03.07.2021 18:00","85.45"
"03.07.2021 18:00 - 03.07.2021 19:00","95.44"
"03.07.2021 19:00 - 03.07.2021 20:00","106.96"
"03.07.2021 20:00 - 03.07.2021 21:00","107.43"
"03.07.2021 21:00 - 03.07.2021 22:00","106.97"
"03.07.2021 22:00 - 03.07.2021 23:00","106.95"
"03.07.2021 23:00 - 04.07.2021 00:00","100.00"
"04.07.2021 00:00 - 04.07.2021 01:00","94.18"
"04.07.2021 01:00 - 04.07.2021 02:00","86.74"
"04.07.2021 02:00 - 04.07.2021 03:00","80.05"
"04.07.2021 03:00 - 04.07.2021 04:00","75.61"
"04.07.2021 04:00 - 04.07.2021 05:00","75.03"
"04.07.2021 05:00 - 04.07.2021 06:00","73.99"
"04.07.2021 06:00 - 04.07.2021 07:00","74.50"
"04.07.2021 07:00 - 04.07.2021 08:00","75.42"
"04.07.2021 08:00 - 04.07.2021 09:00","78.68"
"04.07.2021 09:00 - 04.07.2021 10:00","77.08"
"04.07.2021 10:00 - 04.07.2021 11:00","75.24"
"04.07.2021 11:00 - 04.07.2021 12:00","78.03"
"04.07.2021 12:00 - 04.07.2021 13:00","78.02"
"04.07.2021 13:00 - 04.07.2021 14:00","74.00"
"04.07.2021 14:00 - 04.07.2021 15:00","69.26"
