"Time","EDM: Balance"
"2021-09-01 00:00:00","-7.71 kW"
"2021-09-01 01:00:00","-7.76 kW"
"2021-09-01 02:00:00","-7.99 kW"
"2021-09-01 03:00:00","-7.81 kW"
"2021-09-01 04:00:00","-8.18 kW"
"2021-09-01 05:00:00","-8.44 kW"
"2021-09-01 06:00:00","-8.16 kW"
"2021-09-01 07:00:00","-8.24 kW"
"2021-09-01 08:00:00","-4.55 kW"
"2021-09-01 09:00:00","-320 W"
"2021-09-01 10:00:00","1.79 kW"
"2021-09-01 11:00:00","6.33 kW"
"2021-09-01 12:00:00","13.0 kW"
"2021-09-01 13:00:00","8.26 kW"
"2021-09-01 14:00:00","8.72 kW"
"2021-09-01 15:00:00","5.89 kW"
"2021-09-01 16:00:00","4.11 kW"
"2021-09-01 17:00:00","867 W"
"2021-09-01 18:00:00","111 W"
"2021-09-01 19:00:00","-32.1 W"
"2021-09-01 20:00:00","-2.46 kW"
"2021-09-01 21:00:00","-4.22 kW"
"2021-09-01 22:00:00","-5.61 kW"
"2021-09-01 23:00:00","-6.67 kW"
"2021-09-02 00:00:00","-9.16 kW"
"2021-09-02 01:00:00","-9.08 kW"
"2021-09-02 02:00:00","-9.12 kW"
"2021-09-02 03:00:00","-9.00 kW"
"2021-09-02 04:00:00","-9.13 kW"
"2021-09-02 05:00:00","-9.54 kW"
"2021-09-02 06:00:00","-8.92 kW"
"2021-09-02 07:00:00","-9.72 kW"
"2021-09-02 08:00:00","-6.86 kW"
"2021-09-02 09:00:00","-852 W"
"2021-09-02 10:00:00","1.83 kW"
"2021-09-02 11:00:00","6.06 kW"
"2021-09-02 12:00:00","15.5 kW"
"2021-09-02 13:00:00","21.3 kW"
"2021-09-02 14:00:00","19.4 kW"
"2021-09-02 15:00:00","17.1 kW"
"2021-09-02 16:00:00","10.5 kW"
"2021-09-02 17:00:00","2.14 kW"
"2021-09-02 18:00:00","71.2 W"
"2021-09-02 19:00:00","-2.90 W"
"2021-09-02 20:00:00","-536 W"
"2021-09-02 21:00:00","-4.58 kW"
"2021-09-02 22:00:00","-4.28 kW"
"2021-09-02 23:00:00","-6.36 kW"
"2021-09-03 00:00:00","-8.03 kW"
"2021-09-03 01:00:00","-8.97 kW"
"2021-09-03 02:00:00","-9.11 kW"
"2021-09-03 03:00:00","-9.10 kW"
"2021-09-03 04:00:00","-9.04 kW"
"2021-09-03 05:00:00","-9.23 kW"
"2021-09-03 06:00:00","-9.03 kW"
"2021-09-03 07:00:00","-9.44 kW"
"2021-09-03 08:00:00","-5.88 kW"
"2021-09-03 09:00:00","-296 W"
"2021-09-03 10:00:00","1.22 kW"
"2021-09-03 11:00:00","4.89 kW"
"2021-09-03 12:00:00","16.3 kW"
"2021-09-03 13:00:00","24.6 kW"
"2021-09-03 14:00:00","22.9 kW"
"2021-09-03 15:00:00","18.8 kW"
"2021-09-03 16:00:00","12.3 kW"
"2021-09-03 17:00:00","4.08 kW"
"2021-09-03 18:00:00","292 W"
"2021-09-03 19:00:00","-97.6 W"
"2021-09-03 20:00:00","-53.6 W"
"2021-09-03 21:00:00","-2.71 kW"
"2021-09-03 22:00:00","-4.14 kW"
"2021-09-03 23:00:00","-5.64 kW"
"2021-09-04 00:00:00","-7.04 kW"
"2021-09-04 01:00:00","-8.45 kW"
"2021-09-04 02:00:00","-8.23 kW"
"2021-09-04 03:00:00","-8.35 kW"
"2021-09-04 04:00:00","-8.14 kW"
"2021-09-04 05:00:00","-8.27 kW"
"2021-09-04 06:00:00","-8.45 kW"
"2021-09-04 07:00:00","-6.62 kW"
"2021-09-04 08:00:00","-2.01 kW"
"2021-09-04 09:00:00","518 W"
"2021-09-04 10:00:00","4.05 kW"
"2021-09-04 11:00:00","12.3 kW"
"2021-09-04 12:00:00","25.0 kW"
"2021-09-04 13:00:00","28.2 kW"
"2021-09-04 14:00:00","26.4 kW"
"2021-09-04 15:00:00","22.1 kW"
"2021-09-04 16:00:00","15.2 kW"
"2021-09-04 17:00:00","6.01 kW"
"2021-09-04 18:00:00","400 W"
"2021-09-04 19:00:00","-200 W"
"2021-09-04 20:00:00","-172 W"
"2021-09-04 21:00:00","-3.08 kW"
"2021-09-04 22:00:00","-5.16 kW"
"2021-09-04 23:00:00","-8.93 kW"
"2021-09-05 00:00:00","-10.1 kW"
"2021-09-05 01:00:00","-9.97 kW"
"2021-09-05 02:00:00","-9.74 kW"
"2021-09-05 03:00:00","-9.93 kW"
"2021-09-05 04:00:00","-9.85 kW"
"2021-09-05 05:00:00","-8.25 kW"
"2021-09-05 06:00:00","-9.07 kW"
"2021-09-05 07:00:00","-6.70 kW"
"2021-09-05 08:00:00","-1.76 kW"
"2021-09-05 09:00:00","507 W"
"2021-09-05 10:00:00","3.60 kW"
"2021-09-05 11:00:00","11.4 kW"
"2021-09-05 12:00:00","23.9 kW"
"2021-09-05 13:00:00","27.7 kW"
"2021-09-05 14:00:00","26.0 kW"
"2021-09-05 15:00:00","21.7 kW"
"2021-09-05 16:00:00","14.4 kW"
"2021-09-05 17:00:00","5.31 kW"
"2021-09-05 18:00:00","284 W"
"2021-09-05 19:00:00","-263 W"
"2021-09-05 20:00:00","-244 W"
"2021-09-05 21:00:00","-2.53 kW"
"2021-09-05 22:00:00","-4.09 kW"
"2021-09-05 23:00:00","-5.59 kW"
"2021-09-06 00:00:00","-8.32 kW"
"2021-09-06 01:00:00","-8.43 kW"
"2021-09-06 02:00:00","-8.39 kW"
"2021-09-06 03:00:00","-8.24 kW"
"2021-09-06 04:00:00","-8.42 kW"
"2021-09-06 05:00:00","-8.21 kW"
"2021-09-06 06:00:00","-8.44 kW"
"2021-09-06 07:00:00","-8.57 kW"
"2021-09-06 08:00:00","-7.40 kW"
"2021-09-06 09:00:00","-676 W"
"2021-09-06 10:00:00","845 W"
"2021-09-06 11:00:00","4.41 kW"
"2021-09-06 12:00:00","13.2 kW"
"2021-09-06 13:00:00","18.8 kW"
"2021-09-06 14:00:00","20.2 kW"
"2021-09-06 15:00:00","16.3 kW"
"2021-09-06 16:00:00","10.7 kW"
"2021-09-06 17:00:00","3.60 kW"
"2021-09-06 18:00:00","-924 W"
"2021-09-06 19:00:00","-43.1 W"
"2021-09-06 20:00:00","-126 W"
"2021-09-06 21:00:00","-832 W"
"2021-09-06 22:00:00","-4.10 kW"
"2021-09-06 23:00:00","-4.78 kW"
"2021-09-07 00:00:00","-7.60 kW"
"2021-09-07 01:00:00","-7.99 kW"
"2021-09-07 02:00:00","-8.27 kW"
"2021-09-07 03:00:00","-8.25 kW"
"2021-09-07 04:00:00","-8.24 kW"
"2021-09-07 05:00:00","-8.17 kW"
"2021-09-07 06:00:00","-8.27 kW"
"2021-09-07 07:00:00","-9.00 kW"
"2021-09-07 08:00:00","-6.89 kW"
"2021-09-07 09:00:00","-2.02 kW"
"2021-09-07 10:00:00","737 W"
"2021-09-07 11:00:00","1.09 kW"
"2021-09-07 12:00:00","7.89 kW"
"2021-09-07 13:00:00","14.0 kW"
"2021-09-07 14:00:00","12.3 kW"
"2021-09-07 15:00:00","15.2 kW"
"2021-09-07 16:00:00","7.75 kW"
"2021-09-07 17:00:00","1.43 kW"
"2021-09-07 18:00:00","-28.6 W"
"2021-09-07 19:00:00","-69.3 W"
"2021-09-07 20:00:00","-39.2 W"
"2021-09-07 21:00:00","-2.34 kW"
"2021-09-07 22:00:00","-4.43 kW"
"2021-09-07 23:00:00","-5.42 kW"
"2021-09-08 00:00:00","-7.37 kW"
"2021-09-08 01:00:00","-7.24 kW"
"2021-09-08 02:00:00","-7.75 kW"
"2021-09-08 03:00:00","-8.12 kW"
"2021-09-08 04:00:00","-7.53 kW"
"2021-09-08 05:00:00","-8.20 kW"
"2021-09-08 06:00:00","-8.64 kW"
"2021-09-08 07:00:00","-8.60 kW"
"2021-09-08 08:00:00","-8.05 kW"
"2021-09-08 09:00:00","-435 W"
"2021-09-08 10:00:00","987 W"
"2021-09-08 11:00:00","3.29 kW"
"2021-09-08 12:00:00","12.0 kW"
"2021-09-08 13:00:00","18.4 kW"
"2021-09-08 14:00:00","18.8 kW"
"2021-09-08 15:00:00","15.1 kW"
"2021-09-08 16:00:00","6.86 kW"
"2021-09-08 17:00:00","996 W"
"2021-09-08 18:00:00","-160 W"
"2021-09-08 19:00:00","-104 W"
"2021-09-08 20:00:00","-394 W"
"2021-09-08 21:00:00","-3.89 kW"
"2021-09-08 22:00:00","-5.59 kW"
"2021-09-08 23:00:00","-6.83 kW"
"2021-09-09 00:00:00","-8.67 kW"
"2021-09-09 01:00:00","-8.31 kW"
"2021-09-09 02:00:00","-8.57 kW"
"2021-09-09 03:00:00","-8.68 kW"
"2021-09-09 04:00:00","-7.99 kW"
"2021-09-09 05:00:00","-8.25 kW"
"2021-09-09 06:00:00","-9.07 kW"
"2021-09-09 07:00:00","-7.76 kW"
"2021-09-09 08:00:00","-6.75 kW"
"2021-09-09 09:00:00","-1.15 kW"
"2021-09-09 10:00:00","778 W"
"2021-09-09 11:00:00","2.24 kW"
"2021-09-09 12:00:00","6.67 kW"
"2021-09-09 13:00:00","15.9 kW"
"2021-09-09 14:00:00","16.2 kW"
"2021-09-09 15:00:00","13.6 kW"
"2021-09-09 16:00:00","670 W"
"2021-09-09 17:00:00","453 W"
"2021-09-09 18:00:00","-228 W"
"2021-09-09 19:00:00","-584 W"
"2021-09-09 20:00:00","-3.21 kW"
"2021-09-09 21:00:00","-4.07 kW"
"2021-09-09 22:00:00","-6.30 kW"
"2021-09-09 23:00:00","-8.10 kW"
"2021-09-10 00:00:00","-8.38 kW"
"2021-09-10 01:00:00","-8.59 kW"
"2021-09-10 02:00:00","-8.21 kW"
"2021-09-10 03:00:00","-7.84 kW"
"2021-09-10 04:00:00","-8.35 kW"
"2021-09-10 05:00:00","-8.76 kW"
"2021-09-10 06:00:00","-8.21 kW"
"2021-09-10 07:00:00","-7.99 kW"
"2021-09-10 08:00:00","-6.47 kW"
"2021-09-10 09:00:00","-4.54 kW"
"2021-09-10 10:00:00","51.3 W"
"2021-09-10 11:00:00","1.34 kW"
"2021-09-10 12:00:00","1.47 kW"
"2021-09-10 13:00:00","1.41 kW"
"2021-09-10 14:00:00","1.97 kW"
"2021-09-10 15:00:00","4.39 kW"
"2021-09-10 16:00:00","3.22 kW"
"2021-09-10 17:00:00","-218 W"
"2021-09-10 18:00:00","-2.94 kW"
"2021-09-10 19:00:00","-5.31 kW"
"2021-09-10 20:00:00","-8.33 kW"
"2021-09-10 21:00:00","-9.57 kW"
"2021-09-10 22:00:00","-8.96 kW"
"2021-09-10 23:00:00","-10.1 kW"
"2021-09-11 00:00:00","-8.88 kW"
"2021-09-11 01:00:00","-10.6 kW"
"2021-09-11 02:00:00","-8.97 kW"
"2021-09-11 03:00:00","-11.0 kW"
"2021-09-11 04:00:00","-9.14 kW"
"2021-09-11 05:00:00","-10.6 kW"
"2021-09-11 06:00:00","-9.22 kW"
"2021-09-11 07:00:00","-9.66 kW"
"2021-09-11 08:00:00","-6.54 kW"
"2021-09-11 09:00:00","-6.34 kW"
"2021-09-11 10:00:00","-2.24 kW"
"2021-09-11 11:00:00","-1.36 kW"
"2021-09-11 12:00:00","6.61 kW"
"2021-09-11 13:00:00","2.34 kW"
"2021-09-11 14:00:00","2.20 kW"
"2021-09-11 15:00:00","4.27 kW"
"2021-09-11 16:00:00","2.16 kW"
"2021-09-11 17:00:00","365 W"
"2021-09-11 18:00:00","26.8 W"
"2021-09-11 19:00:00","-169 W"
"2021-09-11 20:00:00","-1.92 kW"
"2021-09-11 21:00:00","-5.02 kW"
"2021-09-11 22:00:00","-8.03 kW"
"2021-09-11 23:00:00","-10.3 kW"
"2021-09-12 00:00:00","-8.03 kW"
"2021-09-12 01:00:00","-10.4 kW"
"2021-09-12 02:00:00","-8.18 kW"
"2021-09-12 03:00:00","-9.44 kW"
"2021-09-12 04:00:00","-8.23 kW"
"2021-09-12 05:00:00","-9.72 kW"
"2021-09-12 06:00:00","-8.96 kW"
"2021-09-12 07:00:00","-8.73 kW"
"2021-09-12 08:00:00","-3.77 kW"
"2021-09-12 09:00:00","211 W"
"2021-09-12 10:00:00","2.19 kW"
"2021-09-12 11:00:00","10.9 kW"
"2021-09-12 12:00:00","16.3 kW"
"2021-09-12 13:00:00","25.1 kW"
"2021-09-12 14:00:00","17.2 kW"
"2021-09-12 15:00:00","22.4 kW"
"2021-09-12 16:00:00","12.0 kW"
"2021-09-12 17:00:00","5.03 kW"
"2021-09-12 18:00:00","94.5 W"
"2021-09-12 19:00:00","-90.1 W"
"2021-09-12 20:00:00","-34.1 W"
"2021-09-12 21:00:00","-4.01 kW"
"2021-09-12 22:00:00","-3.79 kW"
"2021-09-12 23:00:00","-7.10 kW"
"2021-09-13 00:00:00","-8.59 kW"
"2021-09-13 01:00:00","-9.28 kW"
"2021-09-13 02:00:00","-8.33 kW"
"2021-09-13 03:00:00","-9.53 kW"
"2021-09-13 04:00:00","-8.17 kW"
"2021-09-13 05:00:00","-9.72 kW"
"2021-09-13 06:00:00","-9.15 kW"
"2021-09-13 07:00:00","-9.34 kW"
"2021-09-13 08:00:00","-7.90 kW"
"2021-09-13 09:00:00","-3.02 kW"
"2021-09-13 10:00:00","483 W"
