"Time","PVGen"
"2021-07-01 00:00:00","0 W"
"2021-07-01 01:00:00","0 W"
"2021-07-01 02:00:00","0 W"
"2021-07-01 03:00:00","0 W"
"2021-07-01 04:00:00","0 W"
"2021-07-01 05:00:00","0 W"
"2021-07-01 06:00:00","228 W"
"2021-07-01 07:00:00","3.07 kW"
"2021-07-01 08:00:00","6.77 kW"
"2021-07-01 09:00:00","8.02 kW"
"2021-07-01 10:00:00","12.3 kW"
"2021-07-01 11:00:00","11.8 kW"
"2021-07-01 12:00:00","16.1 kW"
"2021-07-01 13:00:00","18.5 kW"
"2021-07-01 14:00:00","8.34 kW"
"2021-07-01 15:00:00","10.7 kW"
"2021-07-01 16:00:00","14.9 kW"
"2021-07-01 17:00:00","9.64 kW"
"2021-07-01 18:00:00","9.91 kW"
"2021-07-01 19:00:00","6.32 kW"
"2021-07-01 20:00:00","3.16 kW"
"2021-07-01 21:00:00","91.0 W"
"2021-07-01 22:00:00","0 W"
"2021-07-01 23:00:00","0 W"
"2021-07-02 00:00:00","0 W"
"2021-07-02 01:00:00","0 W"
"2021-07-02 02:00:00","0 W"
"2021-07-02 03:00:00","0 W"
"2021-07-02 04:00:00","0 W"
"2021-07-02 05:00:00","53.3 W"
"2021-07-02 06:00:00","3.65 kW"
"2021-07-02 07:00:00","10.2 kW"
"2021-07-02 08:00:00","20.3 kW"
"2021-07-02 09:00:00","30.0 kW"
"2021-07-02 10:00:00","31.5 kW"
"2021-07-02 11:00:00","42.8 kW"
"2021-07-02 12:00:00","37.8 kW"
"2021-07-02 13:00:00","36.1 kW"
"2021-07-02 14:00:00","38.1 kW"
"2021-07-02 15:00:00","41.1 kW"
"2021-07-02 16:00:00","33.0 kW"
"2021-07-02 17:00:00","28.0 kW"
"2021-07-02 18:00:00","19.1 kW"
"2021-07-02 19:00:00","11.1 kW"
"2021-07-02 20:00:00","2.98 kW"
"2021-07-02 21:00:00","96.0 W"
"2021-07-02 22:00:00","0 W"
"2021-07-02 23:00:00","0 W"
"2021-07-03 00:00:00","0 W"
"2021-07-03 01:00:00","0 W"
"2021-07-03 02:00:00","0 W"
"2021-07-03 03:00:00","0 W"
"2021-07-03 04:00:00","0 W"
"2021-07-03 05:00:00","195 W"
"2021-07-03 06:00:00","3.34 kW"
"2021-07-03 07:00:00","9.70 kW"
"2021-07-03 08:00:00","19.3 kW"
"2021-07-03 09:00:00","28.0 kW"
"2021-07-03 10:00:00","37.2 kW"
"2021-07-03 11:00:00","42.8 kW"
"2021-07-03 12:00:00","40.8 kW"
"2021-07-03 13:00:00","46.7 kW"
"2021-07-03 14:00:00","46.3 kW"
"2021-07-03 15:00:00","41.7 kW"
"2021-07-03 16:00:00","31.3 kW"
"2021-07-03 17:00:00","15.1 kW"
"2021-07-03 18:00:00","6.07 kW"
"2021-07-03 19:00:00","6.28 kW"
"2021-07-03 20:00:00","2.87 kW"
"2021-07-03 21:00:00","113 W"
"2021-07-03 22:00:00","0 W"
"2021-07-03 23:00:00","0 W"
"2021-07-04 00:00:00","0 W"
"2021-07-04 01:00:00","0 W"
"2021-07-04 02:00:00","0 W"
"2021-07-04 03:00:00","0 W"
"2021-07-04 04:00:00","0 W"
"2021-07-04 05:00:00","281 W"
"2021-07-04 06:00:00","3.18 kW"
"2021-07-04 07:00:00","8.82 kW"
"2021-07-04 08:00:00","15.7 kW"
"2021-07-04 09:00:00","16.5 kW"
"2021-07-04 10:00:00","25.8 kW"
"2021-07-04 11:00:00","20.7 kW"
"2021-07-04 12:00:00","12.2 kW"
"2021-07-04 13:00:00","7.07 kW"
"2021-07-04 14:00:00","17.1 kW"
"2021-07-04 15:00:00","30.0 kW"
"2021-07-04 16:00:00","23.5 kW"
"2021-07-04 17:00:00","6.66 kW"
"2021-07-04 18:00:00","7.70 kW"
"2021-07-04 19:00:00","5.24 kW"
"2021-07-04 20:00:00","2.27 kW"
"2021-07-04 21:00:00","229 W"
"2021-07-04 22:00:00","0 W"
"2021-07-04 23:00:00","0 W"
"2021-07-05 00:00:00","0 W"
"2021-07-05 01:00:00","0 W"
"2021-07-05 02:00:00","0 W"
"2021-07-05 03:00:00","0 W"
"2021-07-05 04:00:00","0 W"
"2021-07-05 05:00:00","137 W"
"2021-07-05 06:00:00","1.71 kW"
"2021-07-05 07:00:00","1.96 kW"
"2021-07-05 08:00:00","4.91 kW"
"2021-07-05 09:00:00","10.2 kW"
"2021-07-05 10:00:00","10.1 kW"
"2021-07-05 11:00:00","13.6 kW"
"2021-07-05 12:00:00","15.1 kW"
"2021-07-05 13:00:00","13.5 kW"
"2021-07-05 14:00:00","31.9 kW"
"2021-07-05 15:00:00","25.7 kW"
"2021-07-05 16:00:00","21.2 kW"
"2021-07-05 17:00:00","21.2 kW"
"2021-07-05 18:00:00","18.6 kW"
"2021-07-05 19:00:00","8.50 kW"
"2021-07-05 20:00:00","3.82 kW"
"2021-07-05 21:00:00","212 W"
"2021-07-05 22:00:00","0 W"
"2021-07-05 23:00:00","0 W"
"2021-07-06 00:00:00","0 W"
"2021-07-06 01:00:00","0 W"
"2021-07-06 02:00:00","0 W"
"2021-07-06 03:00:00","0 W"
"2021-07-06 04:00:00","0 W"
"2021-07-06 05:00:00","205 W"
"2021-07-06 06:00:00","2.65 kW"
"2021-07-06 07:00:00","9.51 kW"
"2021-07-06 08:00:00","15.3 kW"
"2021-07-06 09:00:00","16.5 kW"
"2021-07-06 10:00:00","4.02 kW"
"2021-07-06 11:00:00","8.32 kW"
"2021-07-06 12:00:00","6.44 kW"
"2021-07-06 13:00:00","7.43 kW"
"2021-07-06 14:00:00","5.87 kW"
"2021-07-06 15:00:00","6.14 kW"
"2021-07-06 16:00:00","7.62 kW"
"2021-07-06 17:00:00","6.60 kW"
