"Time","PVGen"
"1630447200000","0"
"1630450800000","0"
"1630454400000","0"
"1630458000000","0"
"1630461600000","0"
"1630465200000","0"
"1630468800000","5.475"
"1630472400000","2680.9625"
"1630476000000","8372.8625"
"1630479600000","18915.183333333334"
"1630483200000","28971.945833333335"
"1630486800000","36173.99166666667"
"1630490400000","36594.6875"
"1630494000000","26094.233333333334"
"1630497600000","27300.579166666666"
"1630501200000","21160.7"
"1630504800000","23830.320833333335"
"1630508400000","16899.208333333332"
"1630512000000","8950.3125"
"1630515600000","2430.1125"
"1630519200000","7.858333333333333"
"1630522800000","0"
"1630526400000","0"
"1630530000000","0"
"1630533600000","0"
"1630537200000","0"
"1630540800000","0"
"1630544400000","0"
"1630548000000","0"
"1630551600000","0"
"1630555200000","0"
"1630558800000","2304.2375"
"1630562400000","8118.266666666666"
"1630566000000","18961.925"
"1630569600000","29693.358333333334"
"1630573200000","36559.2125"
"1630576800000","39758.879166666666"
"1630580400000","40713.604166666664"
"1630584000000","38942.52916666667"
"1630587600000","34731.39166666667"
"1630591200000","27454.179166666665"
"1630594800000","17768.9875"
"1630598400000","9011.379166666668"
"1630602000000","2164.6208333333334"
"1630605600000","4.233333333333333"
"1630609200000","0"
"1630612800000","0"
"1630616400000","0"
"1630620000000","0"
"1630623600000","0"
"1630627200000","0"
"1630630800000","0"
"1630634400000","0"
"1630638000000","0"
"1630641600000","0"
"1630645200000","2093.878661087866"
"1630648800000","7888.120833333333"
"1630652400000","18801.091666666667"
"1630656000000","29486.779166666667"
"1630659600000","36417.004166666666"
"1630663200000","39574.708333333336"
"1630666800000","40445.316666666666"
"1630670400000","38478.45"
"1630674000000","34269.208333333336"
"1630677600000","27145.191666666666"
"1630681200000","17330.6375"
"1630684800000","8765.276150627615"
"1630688400000","1967.125"
"1630692000000","0.1875"
"1630695600000","0"
"1630699200000","0"
"1630702800000","0"
"1630706400000","0"
"1630710000000","0"
"1630713600000","0"
"1630717200000","0"
"1630720800000","0"
"1630724400000","0"
"1630728000000","0"
"1630731600000","2017.3541666666667"
"1630735200000","7602.258333333333"
"1630738800000","18076.608333333334"
"1630742400000","28467.6"
"1630746000000","35366.575"
"1630749600000","38485.941666666666"
"1630753200000","39265.15"
"1630756800000","37497.84166666667"
"1630760400000","33092.683333333334"
"1630764000000","26096.383333333335"
"1630767600000","16656.554166666665"
"1630771200000","8236.225"
"1630774800000","1784.5375"
"1630778400000","0"
"1630782000000","0"
"1630785600000","0"
"1630789200000","0"
"1630792800000","0"
"1630796400000","0"
"1630800000000","0"
"1630803600000","0"
"1630807200000","0"
"1630810800000","0"
"1630814400000","0"
"1630818000000","2007.0541666666666"
"1630821600000","7711"
"1630825200000","17159.366666666665"
"1630828800000","26545.05"
"1630832400000","34486.24166666667"
"1630836000000","37590.14166666667"
"1630839600000","38297.80416666667"
"1630843200000","36511.94583333333"
"1630846800000","32245.866666666665"
"1630850400000","25184.758333333335"
"1630854000000","16095.016666666666"
"1630857600000","7618.6625"
"1630861200000","717.3291666666667"
"1630864800000","0"
"1630868400000","0"
"1630872000000","0"
"1630875600000","0"
"1630879200000","0"
"1630882800000","0"
"1630886400000","0"
"1630890000000","0"
"1630893600000","0"
"1630897200000","0"
"1630900800000","0"
"1630904400000","1851.4"
"1630908000000","7145.204166666666"
"1630911600000","17472.225"
"1630915200000","27790.695833333335"
"1630918800000","34477.604166666664"
"1630922400000","37597.683333333334"
"1630926000000","38743.09166666667"
"1630929600000","36829.23333333333"
"1630933200000","32457.220833333333"
"1630936800000","25243.5625"
"1630940400000","16520.466666666667"
"1630944000000","7971.008333333333"
"1630947600000","2276.5125"
"1630951200000","0"
"1630954800000","0"
"1630958400000","0"
"1630962000000","0"
"1630965600000","0"
"1630969200000","0"
"1630972800000","0"
"1630976400000","0"
"1630980000000","0"
"1630983600000","0"
"1630987200000","0"
"1630990800000","2098.0958333333333"
"1630994400000","6377.333333333333"
"1630998000000","14716.025"
"1631001600000","23458.345833333333"
"1631005200000","30728.575"
"1631008800000","34301.416666666664"
"1631012400000","35193.8875"
"1631016000000","31438.7375"
"1631019600000","27761.45"
"1631023200000","22486.145833333332"
"1631026800000","13214.754166666668"
"1631030400000","6094.458333333333"
"1631034000000","1435.8958333333333"
"1631037600000","0"
"1631041200000","0"
"1631044800000","0"
"1631048400000","0"
"1631052000000","0"
"1631055600000","0"
"1631059200000","0"
"1631062800000","0"
"1631066400000","0"
"1631070000000","0"
"1631073600000","0"
"1631077200000","1625.225"
"1631080800000","6737.708333333333"
"1631084400000","16147.395833333334"
"1631088000000","26307.970833333333"
"1631091600000","33986.125"
"1631095200000","37644.80416666667"
"1631098800000","38595.46666666667"
"1631102400000","36637.0375"
"1631106000000","32048.677824267783"
"1631109600000","24622.6375"
"1631113200000","15271.275"
"1631116800000","7014.833333333333"
"1631120400000","1132.6791666666666"
"1631124000000","0"
"1631127600000","0"
"1631131200000","0"
"1631134800000","0"
"1631138400000","0"
"1631142000000","0"
"1631145600000","0"
"1631149200000","0"
"1631152800000","0"
"1631156400000","0"
"1631160000000","0"
"1631163600000","1686.9246861924687"
"1631167200000","6265.375"
"1631170800000","16112.466666666667"
"1631174400000","26240.108333333334"
"1631178000000","27672.2125"
"1631181600000","33369.34166666667"
"1631185200000","39089.50833333333"
"1631188800000","33820.17083333333"
"1631192400000","30500.5625"
"1631196000000","10498.741666666667"
"1631199600000","11019.304166666667"
"1631203200000","4647.854166666667"
"1631206800000","666.2375"
"1631210400000","0"
"1631214000000","0"
"1631217600000","0"
"1631221200000","0"
"1631224800000","0"
"1631228400000","0"
"1631232000000","0"
"1631235600000","0"
"1631239200000","0"
"1631242800000","0"
"1631246400000","0"
"1631250000000","2581.491666666667"
"1631253600000","7300.629166666667"
"1631257200000","12381.529166666667"
"1631260800000","18983.029166666667"
"1631264400000","26021.941666666666"
"1631268000000","23834.13389121339"
"1631271600000","21776.645833333332"
"1631275200000","17252.8125"
"1631278800000","20452.554166666665"
"1631282400000","16745.720833333333"
"1631286000000","5948.430962343096"
"1631289600000","3063.8166666666666"
"1631293200000","174.21666666666667"
"1631296800000","0"
"1631300400000","0"
"1631304000000","0"
"1631307600000","0"
"1631311200000","0"
"1631314800000","0"
"1631318400000","0"
"1631322000000","0"
"1631325600000","0"
"1631329200000","0"
"1631332800000","0"
"1631336400000","721.1583333333333"
"1631340000000","2635.758333333333"
"1631343600000","4632.954166666666"
"1631347200000","7414.375"
"1631350800000","11342.554166666667"
"1631354400000","29125.166666666668"
"1631358000000","20007.104166666668"
"1631361600000","20197.3625"
"1631365200000","18805.241666666665"
"1631368800000","12250.275"
"1631372400000","7758.720833333334"
"1631376000000","4441.175"
"1631379600000","806.3583333333333"
"1631383200000","0"
"1631386800000","0"
"1631390400000","0"
"1631394000000","0"
"1631397600000","0"
"1631401200000","0"
"1631404800000","0"
"1631408400000","0"
"1631412000000","0"
"1631415600000","0"
"1631419200000","0"
"1631422800000","1231.9458333333334"
"1631426400000","6112.370833333333"
"1631430000000","15805.55"
"1631433600000","26222.15"
"1631437200000","33356.916666666664"
"1631440800000","31650.745833333334"
"1631444400000","36813.45"
"1631448000000","28891.5875"
"1631451600000","32086.079166666666"
"1631455200000","23455.7375"
"1631458800000","14384.225"
"1631462400000","5898.9875"
"1631466000000","585.3458333333333"
"1631469600000","0"
"1631473200000","0"
"1631476800000","0"
"1631480400000","0"
"1631484000000","0"
"1631487600000","0"
"1631491200000","0"
"1631494800000","0"
"1631498400000","0"
"1631502000000","0"
"1631505600000","0"
"1631509200000","1349.5666666666666"
"1631512800000","6224.44769874477"
"1631516400000","14854.208333333334"
"1631520000000","25702.858333333334"
"1631523600000","32933.225"
"1631527200000","36183.39166666667"
"1631530800000","35776.9125"
"1631534400000","32085.7625"
"1631538000000","27195.416666666668"
"1631541600000","19903.75"
"1631545200000","10192.475"
"1631548800000","5267.2125"
"1631552400000","923.8166666666667"
"1631556000000","0"
"1631559600000","0"
"1631563200000","0"
"1631566800000","0"
"1631570400000","0"
"1631574000000","0"
"1631577600000","0"
"1631581200000","0"
"1631584800000","0"
"1631588400000","0"
"1631592000000","0"
"1631595600000","1467.1708333333333"
"1631599200000","6607.0125"
"1631602800000","14739.929166666667"
"1631606400000","25209.508333333335"
"1631610000000","30246.858333333334"
"1631613600000","30591.723849372385"
"1631617200000","23650.146443514644"
"1631620800000","21147"
"1631624400000","20372.879166666666"
"1631628000000","13779.65"
"1631631600000","7011.2875"
"1631635200000","2823.0625"
"1631638800000","99.72083333333333"
"1631642400000","0"
"1631646000000","0"
"1631649600000","0"
"1631653200000","0"
"1631656800000","0"
"1631660400000","0"
"1631664000000","0"
"1631667600000","0"
"1631671200000","0"
"1631674800000","0"
"1631678400000","0"
"1631682000000","0"
"1631685600000","1524.8"
"1631689200000","4248.2875"
"1631692800000","3565.4142259414225"
"1631696400000","11271.275"
"1631700000000","15267.1125"
"1631703600000","15356.241666666667"
"1631707200000","10347.575"
"1631710800000","9718.608333333334"
"1631714400000","10268.783333333333"
"1631718000000","6587.8"
"1631721600000","2587.804166666667"
"1631725200000","340.14166666666665"
"1631728800000","0"
"1631732400000","0"
"1631736000000","0"
"1631739600000","0"
"1631743200000","0"
"1631746800000","0"
"1631750400000","0"
"1631754000000","0"
"1631757600000","0"
"1631761200000","0"
"1631764800000","0"
"1631768400000","0"
"1631772000000","1247.6375"
"1631775600000","717.9246861924686"
"1631779200000","5046.908333333334"
"1631782800000","10310.766666666666"
"1631786400000","12924.4125"
"1631790000000","21388.45"
"1631793600000","21705.765690376567"
"1631797200000","18641.15"
"1631800800000","10271.25"
"1631804400000","12397.741666666667"
"1631808000000","3780.2291666666665"
"1631811600000","326.40416666666664"
"1631815200000","0"
"1631818800000","0"
"1631822400000","0"
"1631826000000","0"
"1631829600000","0"
"1631833200000","0"
"1631836800000","0"
"1631840400000","0"
"1631844000000","0"
"1631847600000","0"
"1631851200000","0"
"1631854800000","840.6083333333333"
"1631858400000","4342.690376569038"
"1631862000000","8676.975"
"1631865600000","13918.825"
"1631869200000","20420.20920502092"
"1631872800000","26756.679166666665"
"1631876400000","33721.566666666666"
"1631880000000","28769.479166666668"
"1631883600000","15354.7"
"1631887200000","20377.6625"
"1631890800000","16005.920833333334"
"1631894400000","5146.054166666667"
"1631898000000","542.5291666666667"
"1631901600000","0"
"1631905200000","0"
"1631908800000","0"
"1631912400000","0"
"1631916000000","0"
"1631919600000","0"
"1631923200000","0"
"1631926800000","0"
"1631930400000","0"
"1631934000000","0"
"1631937600000","0"
"1631941200000","939.2541666666667"
"1631944800000","5292.054166666667"
"1631948400000","14367.9875"
"1631952000000","24505.145833333332"
"1631955600000","32089.616666666665"
"1631959200000","35273.99166666667"
"1631962800000","36020.583333333336"
"1631966400000","32942.64166666667"
"1631970000000","28867.895833333332"
"1631973600000","18307.8625"
"1631977200000","12724.816666666668"
"1631980800000","4485.3125"
"1631984400000","249.01666666666668"
"1631988000000","0"
"1631991600000","0"
"1631995200000","0"
"1631998800000","0"
"1632002400000","0"
"1632006000000","0"
"1632009600000","0"
"1632013200000","0"
"1632016800000","0"
"1632020400000","0"
"1632024000000","0"
"1632027600000","1191.1333333333334"
"1632031200000","5417.925"
"1632034800000","14399.679166666667"
"1632038400000","24061.583333333332"
"1632042000000","31354.108333333334"
"1632045600000","34315.870833333334"
"1632049200000","34207.65833333333"
"1632052800000","9759.370833333332"
"1632056400000","23062.845833333333"
"1632060000000","17300.4125"
"1632063600000","5651.4375"
"1632067200000","1421.9416666666666"
"1632070800000","0"
"1632074400000","0"
"1632078000000","0"
"1632081600000","0"
"1632085200000","0"
"1632088800000","0"
"1632092400000","0"
"1632096000000","0"
"1632099600000","0"
"1632103200000","0"
"1632106800000","0"
"1632110400000","0"
"1632114000000","130.68333333333334"
"1632117600000","3119.295833333333"
"1632121200000","7859.929166666667"
"1632124800000","13870.58158995816"
"1632128400000","15716.179166666667"
"1632132000000","12238.0875"
"1632135600000","19787.89121338912"
"1632139200000","21279.091666666667"
"1632142800000","16332.275"
"1632146400000","15392.566666666668"
"1632150000000","10329.416666666666"
"1632153600000","2524.4875"
"1632157200000","42.80833333333333"
"1632160800000","0"
"1632164400000","0"
"1632168000000","0"
"1632171600000","0"
"1632175200000","0"
"1632178800000","0"
"1632182400000","0"
"1632186000000","0"
"1632189600000","0"
"1632193200000","0"
"1632196800000","0"
"1632200400000","576.7125"
"1632204000000","4027.7166666666667"
"1632207600000","8477.1625"
"1632211200000","15352.408333333333"
"1632214800000","29615.020833333332"
"1632218400000","25632.204166666666"
"1632222000000","34176.183333333334"
"1632225600000","30273.1875"
"1632229200000","28128.629166666666"
"1632232800000","19477.1375"
"1632236400000","10864.920833333334"
"1632240000000","3804.1506276150626"
"1632243600000","163.98333333333332"
"1632247200000","0"
"1632250800000","0"
"1632254400000","0"
"1632258000000","0"
"1632261600000","0"
"1632265200000","0"
"1632268800000","0"
"1632272400000","0"
"1632276000000","0"
"1632279600000","0"
"1632283200000","0"
"1632286800000","967.1833333333333"
"1632290400000","5893.1125"
"1632294000000","11760.370833333332"
"1632297600000","23267.0375"
"1632301200000","31399.529166666667"
"1632304800000","32764.68619246862"
"1632308400000","33428.020833333336"
"1632312000000","27844.429166666665"
"1632315600000","23557.620833333334"
"1632319200000","19022.5125"
"1632322800000","7351.375"
"1632326400000","2082.0208333333335"
"1632330000000","63.045833333333334"
"1632333600000","0"
"1632337200000","0"
"1632340800000","0"
"1632344400000","0"
