Time,Grid Demand [W],PV Gen [W],Day-ahead Price [EUR/MWh]
1656626400000,-15299.895833333334,0.0,268.71
1656630000000,-14380.541666666666,0.0,265.86
1656633600000,-15218.604166666666,0.0,268.01
1656637200000,-15701.041666666666,0.0,266.12
1656640800000,-14564.479166666666,0.0,265.38
1656644400000,-15258.791666666666,0.0,282.13
1656648000000,-15652.229166666666,931.6083333333332,355.19
1656651600000,-18506.416666666668,858.5916666666667,378.85
1656655200000,-18414.25,4031.1375,385.19
1656658800000,-16702.719665271965,6416.602510460251,378.0
1656662400000,-19301.875,7650.7125,360.06
1656666000000,-4637.1875,22285.80833333333,354.77
1656669600000,747.1458333333334,25980.991666666665,325.63
1656673200000,8700.125,45128.2875,300.72
1656676800000,1552.3125,28030.391666666663,266.68
1656680400000,1788.1041666666667,26709.12083333333,261.06
1656684000000,1220.375,26171.954166666663,220.69
1656687600000,390.0416666666667,19471.14583333333,259.95
1656691200000,59.0625,19986.845833333333,289.07
1656694800000,-624.1666666666666,9137.570833333331,329.39
1656698400000,-1550.1041666666667,3782.658333333333,359.56
1656702000000,-12884.395833333334,208.7333333333333,356.91
1656705600000,-14870.1875,0.0,385.0
1656709200000,-13879.5625,0.0,362.3
1656712800000,-13373.104166666666,0.0,285.72
1656716400000,-14609.916666666666,0.0,255.0
1656720000000,-14875.916666666666,0.0,237.2
1656723600000,-13988.291666666666,0.0,230.71
1656727200000,-13752.083333333334,0.0,222.31
1656730800000,-15103.0625,94.4875,214.2
1656734400000,-12787.5,2659.3416666666667,233.84
1656738000000,-4638.5,9049.641666666666,244.56
1656741600000,-417.0208333333333,19175.02083333333,208.6
1656745200000,2573.9166666666665,30224.229166666668,154.08
1656748800000,7802.854166666667,38749.55416666667,125.0
1656752400000,22145.14583333333,43939.20416666667,113.85
1656756000000,30773.104166666668,47070.066666666666,89.37
1656759600000,31154.604166666668,48178.90416666667,76.33
1656763200000,29434.75,46805.075,89.34
1656766800000,26739.97907949791,42905.57740585774,89.17
1656770400000,20671.64583333333,37272.13333333333,131.11
1656774000000,11706.5,29382.0125,240.3
1656777600000,4296.0625,20137.920833333334,285.03
1656781200000,-75.89583333333333,11137.541666666666,350.0
1656784800000,-1080.3541666666667,3741.325,362.85
1656788400000,-3183.9166666666665,204.875,359.96
1656792000000,-10062.916666666666,0.0,353.44
1656795600000,-13444.4375,0.0,302.17
1656799200000,-14698.666666666666,0.0,270.08
1656802800000,-14932.458333333334,0.0,237.95
1656806400000,-14514.75,0.0,199.08
1656810000000,-14387.520833333334,0.0,195.6
1656813600000,-14571.458333333334,0.0,185.6
1656817200000,-15498.395833333334,83.42083333333333,182.71
1656820800000,-12948.541666666666,2583.175,176.71
1656824400000,-5869.333333333333,8655.6375,192.31
1656828000000,-875.1666666666666,18744.5375,185.07
1656831600000,1510.8125,29858.88333333333,170.26
1656835200000,6950.708333333333,37929.59166666667,128.2
1656838800000,18666.604166666668,42634.15833333333,107.43
1656842400000,28660.625,46179.225,93.1
1656846000000,28957.95833333333,47341.79583333333,68.55
1656849600000,28853.75,46354.68333333333,65.82
1656853200000,25305.45833333333,42389.645833333336,74.46
1656856800000,14028.895833333334,32691.8375,123.8
1656860400000,8714.0625,26346.5625,175.99
1656864000000,5292.229166666667,21933.05,272.77
1656867600000,-106.89583333333331,11492.754166666668,327.0
1656871200000,-1344.1666666666667,3581.4625,340.1
1656874800000,-4199.020833333333,245.85416666666663,348.43
1656878400000,-11150.270833333334,0.0,348.45
1656882000000,-15668.916666666666,0.0,333.06
1656885600000,-15847.916666666666,0.0,319.65
1656889200000,-14904.958333333334,0.0,277.83
1656892800000,-14503.958333333334,0.0,265.16
1656896400000,-15664.6875,0.0,254.35
1656900000000,-15452.916666666666,0.0,258.03
1656903600000,-14202.5,100.97916666666669,302.44
1656907200000,-13121.0,2628.0041666666666,361.88
1656910800000,-10355.6875,8091.2875,376.0
1656914400000,-7024.458333333333,16699.45,385.17
1656918000000,-4.5625,29190.7125,366.0
1656921600000,1143.375,37235.583333333336,291.7
1656925200000,3364.145833333333,40987.2375,221.3
1656928800000,7434.645833333333,40086.42916666667,181.8
1656932400000,8840.479166666666,42576.6875,184.36
1656936000000,10049.708333333334,42270.645833333336,172.35
1656939600000,8566.770833333334,39652.32083333333,171.19
1656943200000,6457.958333333333,36745.12083333333,182.64
1656946800000,3065.020920502092,28550.414225941426,211.1
1656950400000,517.25,21419.804166666665,329.99
1656954000000,-717.2083333333334,12756.5125,379.62
1656957600000,-4698.854166666667,4672.345833333334,398.72
1656961200000,-10401.083333333334,271.39166666666665,385.52
1656964800000,-13481.208333333334,0.0,396.92
1656968400000,-15629.520833333334,0.0,379.64
1656972000000,-16207.958333333334,0.0,359.96
1656975600000,-14851.3125,0.0,319.24
1656979200000,-14756.729166666666,0.0,309.33
1656982800000,-16058.791666666666,0.0,301.08
1656986400000,-15855.708333333334,0.0,299.91
1656990000000,-15024.395833333334,86.95833333333333,324.82
1656993600000,-13818.958333333334,2482.85,380.47
1656997200000,-9747.104166666666,8543.283333333333,412.59
1657000800000,-4545.645833333333,18447.225,409.61
1657004400000,261.9375,29363.675,338.68
1657008000000,964.8958333333334,37456.05833333333,283.72
1657011600000,2668.1875,42593.52916666667,286.6
1657015200000,10441.4375,45369.520833333336,243.95
1657018800000,16893.75,49716.27916666667,227.94
1657022400000,18090.0,47561.74166666667,210.95
1657026000000,12255.770833333334,43353.95,213.06
1657029600000,7950.083333333333,37202.5625,237.8
1657033200000,4105.75,28786.741666666665,301.14
1657036800000,-2106.8125,13643.8125,336.25
1657040400000,-931.2916666666666,11790.920833333334,363.98
1657044000000,-6875.916666666667,3351.7166666666667,370.0
1657047600000,-13104.4375,175.05,370.4
1657051200000,-15544.8125,0.0,378.29
