"Time","Day-ahead Price [EUR/MWh]"
"01.07.2022 00:00 - 01.07.2022 01:00","268.71"
"01.07.2022 01:00 - 01.07.2022 02:00","265.86"
"01.07.2022 02:00 - 01.07.2022 03:00","268.01"
"01.07.2022 03:00 - 01.07.2022 04:00","266.12"
"01.07.2022 04:00 - 01.07.2022 05:00","265.38"
"01.07.2022 05:00 - 01.07.2022 06:00","282.13"
"01.07.2022 06:00 - 01.07.2022 07:00","355.19"
"01.07.2022 07:00 - 01.07.2022 08:00","378.85"
"01.07.2022 08:00 - 01.07.2022 09:00","385.19"
"01.07.2022 09:00 - 01.07.2022 10:00","378.00"
"01.07.2022 10:00 - 01.07.2022 11:00","360.06"
"01.07.2022 11:00 - 01.07.2022 12:00","354.77"
"01.07.2022 12:00 - 01.07.2022 13:00","325.63"
"01.07.2022 13:00 - 01.07.2022 14:00","300.72"
"01.07.2022 14:00 - 01.07.2022 15:00","266.68"
"01.07.2022 15:00 - 01.07.2022 16:00","261.06"
"01.07.2022 16:00 - 01.07.2022 17:00","220.69"
"01.07.2022 17:00 - 01.07.2022 18:00","259.95"
"01.07.2022 18:00 - 01.07.2022 19:00","289.07"
"01.07.2022 19:00 - 01.07.2022 20:00","329.39"
"01.07.2022 20:00 - 01.07.2022 21:00","359.56"
"01.07.2022 21:00 - 01.07.2022 22:00","356.91"
"01.07.2022 22:00 - 01.07.2022 23:00","385.00"
"01.07.2022 23:00 - 02.07.2022 00:00","362.30"
"02.07.2022 00:00 - 02.07.2022 01:00","285.72"
"02.07.2022 01:00 - 02.07.2022 02:00","255.00"
"02.07.2022 02:00 - 02.07.2022 03:00","237.20"
"02.07.2022 03:00 - 02.07.2022 04:00","230.71"
"02.07.2022 04:00 - 02.07.2022 05:00","222.31"
"02.07.2022 05:00 - 02.07.2022 06:00","214.20"
"02.07.2022 06:00 - 02.07.2022 07:00","233.84"
"02.07.2022 07:00 - 02.07.2022 08:00","244.56"
"02.07.2022 08:00 - 02.07.2022 09:00","208.60"
"02.07.2022 09:00 - 02.07.2022 10:00","154.08"
"02.07.2022 10:00 - 02.07.2022 11:00","125.00"
