"Time","Charge State"
2022-04-30 20:00:00,0
2022-05-01 02:00:00,0
2022-05-01 08:00:00,9.12
2022-05-01 14:00:00,27.7
2022-05-01 20:00:00,1.33
2022-05-02 02:00:00,0.00347
2022-05-02 08:00:00,21.6
2022-05-02 14:00:00,79.5
2022-05-02 20:00:00,2.28
2022-05-03 02:00:00,0.00420
2022-05-03 08:00:00,31.8
2022-05-03 14:00:00,57.1
2022-05-03 20:00:00,0
2022-05-04 02:00:00,0.00347
2022-05-04 08:00:00,8.94
2022-05-04 14:00:00,67.9
2022-05-04 20:00:00,1.06
2022-05-05 02:00:00,0.00417
2022-05-05 08:00:00,0
2022-05-05 14:00:00,0
2022-05-05 20:00:00,0
2022-05-06 02:00:00,0
2022-05-06 08:00:00,13.9
2022-05-06 14:00:00,92.6
2022-05-06 20:00:00,6.37
2022-05-07 02:00:00,0
2022-05-07 08:00:00,47.3
2022-05-07 14:00:00,97.9
2022-05-07 20:00:00,24.7
2022-05-08 02:00:00,0
2022-05-08 08:00:00,41.7
2022-05-08 14:00:00,99.2
2022-05-08 20:00:00,37.1
2022-05-09 02:00:00,0
2022-05-09 08:00:00,40.0
2022-05-09 14:00:00,99.5
2022-05-09 20:00:00,25.2
2022-05-10 02:00:00,0.00417
2022-05-10 08:00:00,24.0
2022-05-10 14:00:00,86.4
2022-05-10 20:00:00,3.86
2022-05-11 02:00:00,0.00486
2022-05-11 08:00:00,44.7
2022-05-11 14:00:00,89.3
2022-05-11 20:00:00,5.78
2022-05-12 02:00:00,0
2022-05-12 08:00:00,6.95
2022-05-12 14:00:00,31.9
2022-05-12 20:00:00,0
2022-05-13 02:00:00,0
2022-05-13 08:00:00,16.9
2022-05-13 14:00:00,93.5
2022-05-13 20:00:00,11.2
2022-05-14 02:00:00,0.00347
2022-05-14 08:00:00,64.8
2022-05-14 14:00:00,99.7
2022-05-14 20:00:00,31.8
2022-05-15 02:00:00,0
2022-05-15 08:00:00,51.6
2022-05-15 14:00:00,98.1
2022-05-15 20:00:00,21.6
2022-05-16 02:00:00,0
2022-05-16 08:00:00,8.45
2022-05-16 14:00:00,9.52
2022-05-16 20:00:00,0
2022-05-17 02:00:00,0
2022-05-17 08:00:00,26.7
2022-05-17 14:00:00,92.7
2022-05-17 20:00:00,5.83
2022-05-18 02:00:00,0.00417
2022-05-18 08:00:00,26.6
2022-05-18 14:00:00,88.9
2022-05-18 20:00:00,4.09
2022-05-19 02:00:00,0.00694
2022-05-19 08:00:00,20.5
2022-05-19 14:00:00,80.3
2022-05-19 20:00:00,1.33
2022-05-20 02:00:00,0.00347
2022-05-20 08:00:00,21.4
2022-05-20 14:00:00,49.3
2022-05-20 20:00:00,0
2022-05-21 02:00:00,0
2022-05-21 08:00:00,36.1
2022-05-21 14:00:00,93.0
2022-05-21 20:00:00,7.32
2022-05-22 02:00:00,0
2022-05-22 08:00:00,54.0
2022-05-22 14:00:00,81.9
2022-05-22 20:00:00,1.69
2022-05-23 02:00:00,0
2022-05-23 08:00:00,15.0
2022-05-23 14:00:00,9.55
2022-05-23 20:00:00,0
2022-05-24 02:00:00,0
2022-05-24 08:00:00,15.8
2022-05-24 14:00:00,84.4
2022-05-24 20:00:00,10.3
2022-05-25 02:00:00,0.00417
2022-05-25 08:00:00,33.0
2022-05-25 14:00:00,85.6
2022-05-25 20:00:00,15.4
2022-05-26 02:00:00,0.00347
2022-05-26 08:00:00,3.54
2022-05-26 14:00:00,47.3
2022-05-26 20:00:00,1.93
2022-05-27 02:00:00,0
2022-05-27 08:00:00,2.90
2022-05-27 14:00:00,16.4
2022-05-27 20:00:00,0.575
2022-05-28 02:00:00,0.00347
2022-05-28 08:00:00,60.8
2022-05-28 14:00:00,94.0
2022-05-28 20:00:00,5.08
2022-05-29 02:00:00,0
2022-05-29 08:00:00,19.1
2022-05-29 14:00:00,96.5
2022-05-29 20:00:00,14.5
2022-05-30 02:00:00,0
2022-05-30 08:00:00,47.6
2022-05-30 14:00:00,91.7
2022-05-30 20:00:00,9.24
2022-05-31 02:00:00,3001375
2022-05-31 08:00:00,36.5
2022-05-31 14:00:00,74.8
2022-05-31 20:00:00,1.07
2022-06-01 02:00:00,0.00417
2022-06-01 08:00:00,40.8
2022-06-01 14:00:00,95.1
2022-06-01 20:00:00,14.3
2022-06-02 02:00:00,0
2022-06-02 08:00:00,39.2
2022-06-02 14:00:00,96.2
2022-06-02 20:00:00,13.2
2022-06-03 02:00:00,0.00347
2022-06-03 08:00:00,43.5
2022-06-03 14:00:00,44.9
2022-06-03 20:00:00,0
2022-06-04 02:00:00,0.00347
2022-06-04 08:00:00,0.623
2022-06-04 14:00:00,75.2
2022-06-04 20:00:00,22.7
2022-06-05 02:00:00,0.00208
2022-06-05 08:00:00,25.3
2022-06-05 14:00:00,87.5
2022-06-05 20:00:00,15.6
2022-06-06 02:00:00,0.00347
2022-06-06 08:00:00,40.5
2022-06-06 14:00:00,73.2
2022-06-06 20:00:00,2.69
2022-06-07 02:00:00,0
2022-06-07 08:00:00,27.7
2022-06-07 14:00:00,74.4
2022-06-07 20:00:00,7.51
2022-06-08 02:00:00,0.00417
2022-06-08 08:00:00,42.2
2022-06-08 14:00:00,43.7
2022-06-08 20:00:00,0
2022-06-09 02:00:00,0
2022-06-09 08:00:00,26.7
2022-06-09 14:00:00,59.5
2022-06-09 20:00:00,0.503
2022-06-10 02:00:00,0
2022-06-10 08:00:00,51.1
2022-06-10 14:00:00,97.2
2022-06-10 20:00:00,14.3
2022-06-11 02:00:00,0.00347
2022-06-11 08:00:00,50.6
2022-06-11 14:00:00,98.7
2022-06-11 20:00:00,20.7
2022-06-12 02:00:00,0.00486
2022-06-12 08:00:00,60.7
2022-06-12 14:00:00,96.1
2022-06-12 20:00:00,21.8
2022-06-13 02:00:00,0.00347
2022-06-13 08:00:00,47.3
2022-06-13 14:00:00,70.9
2022-06-13 20:00:00,2.61
2022-06-14 02:00:00,0.00350
2022-06-14 08:00:00,48.3
2022-06-14 14:00:00,94.2
2022-06-14 20:00:00,7.91
2022-06-15 02:00:00,0.00417
2022-06-15 08:00:00,39.9
2022-06-15 14:00:00,92.3
2022-06-15 20:00:00,7.56
2022-06-16 02:00:00,0.00417
2022-06-16 08:00:00,49.5
2022-06-16 14:00:00,96.9
2022-06-16 20:00:00,13.9
2022-06-17 02:00:00,0.00417
2022-06-17 08:00:00,50.2
2022-06-17 14:00:00,96.2
2022-06-17 20:00:00,12.1
2022-06-18 02:00:00,0.00347
2022-06-18 08:00:00,55.9
2022-06-18 14:00:00,96.9
2022-06-18 20:00:00,14.9
2022-06-19 02:00:00,0.00347
2022-06-19 08:00:00,53.4
2022-06-19 14:00:00,97.3
2022-06-19 20:00:00,15.8
2022-06-20 02:00:00,0
2022-06-20 08:00:00,0.564
2022-06-20 14:00:00,7.17
2022-06-20 20:00:00,0
2022-06-21 02:00:00,15017368
2022-06-21 08:00:00,20.2
2022-06-21 14:00:00,95.6
2022-06-21 20:00:00,10.5
2022-06-22 02:00:00,0.00139
2022-06-22 08:00:00,0
2022-06-22 14:00:00,0
2022-06-22 20:00:00,0
2022-06-23 02:00:00,0
2022-06-23 08:00:00,19.6
2022-06-23 14:00:00,79.5
2022-06-23 20:00:00,3.32
2022-06-24 02:00:00,0.00347
2022-06-24 08:00:00,30.0
2022-06-24 14:00:00,58.9
2022-06-24 20:00:00,0
2022-06-25 02:00:00,0.00347
2022-06-25 08:00:00,44.2
2022-06-25 14:00:00,95.4
2022-06-25 20:00:00,15.6
2022-06-26 02:00:00,0
2022-06-26 08:00:00,62.9
2022-06-26 14:00:00,98.5
2022-06-26 20:00:00,22.6
2022-06-27 02:00:00,0
2022-06-27 08:00:00,0.335
2022-06-27 14:00:00,1.48
2022-06-27 20:00:00,0
2022-06-28 02:00:00,0
2022-06-28 08:00:00,44.9
2022-06-28 14:00:00,91.6
2022-06-28 20:00:00,6.68
2022-06-29 02:00:00,0
2022-06-29 08:00:00,11.7
2022-06-29 14:00:00,82.2
2022-06-29 20:00:00,11.1
2022-06-30 02:00:00,0.00347
2022-06-30 08:00:00,21.2
2022-06-30 14:00:00,79.9
2022-06-30 20:00:00,2.03
2022-07-01 02:00:00,0
2022-07-01 08:00:00,5.17
2022-07-01 14:00:00,52.8
2022-07-01 20:00:00,5.16
2022-07-02 02:00:00,0.00347
2022-07-02 08:00:00,59.8
2022-07-02 14:00:00,99.0
2022-07-02 20:00:00,23.9
2022-07-03 02:00:00,0
2022-07-03 08:00:00,57.9
2022-07-03 14:00:00,99.1
2022-07-03 20:00:00,23.0
2022-07-04 02:00:00,0
2022-07-04 08:00:00,24.8
2022-07-04 14:00:00,95.7
2022-07-04 20:00:00,12.9
2022-07-05 02:00:00,0
2022-07-05 08:00:00,36.4
2022-07-05 14:00:00,92.0
2022-07-05 20:00:00,7.25
2022-07-06 02:00:00,0.00417
2022-07-06 08:00:00,31.3
2022-07-06 14:00:00,85.2
2022-07-06 20:00:00,6.47
2022-07-07 02:00:00,0.00139
2022-07-07 08:00:00,0.554
2022-07-07 14:00:00,0.269
2022-07-07 20:00:00,0
2022-07-08 02:00:00,0
2022-07-08 08:00:00,31.3
2022-07-08 14:00:00,96.8
2022-07-08 20:00:00,13.5
2022-07-09 02:00:00,0
2022-07-09 08:00:00,53.3
2022-07-09 14:00:00,96.2
2022-07-09 20:00:00,19.0
2022-07-10 02:00:00,0
2022-07-10 08:00:00,34.4
2022-07-10 14:00:00,97.2
2022-07-10 20:00:00,22.8
2022-07-11 02:00:00,0
2022-07-11 08:00:00,13.5
2022-07-11 14:00:00,38.0
2022-07-11 20:00:00,0.0951
2022-07-12 02:00:00,0.00417
2022-07-12 08:00:00,23.5
2022-07-12 14:00:00,93.7
2022-07-12 20:00:00,7.88
2022-07-13 02:00:00,0
2022-07-13 08:00:00,18.6
2022-07-13 14:00:00,17.8
2022-07-13 20:00:00,0
2022-07-14 02:00:00,0
2022-07-14 08:00:00,11.9
2022-07-14 14:00:00,22.7
2022-07-14 20:00:00,0
2022-07-15 02:00:00,0.00417
2022-07-15 08:00:00,38.5
2022-07-15 14:00:00,95.8
2022-07-15 20:00:00,12.6
2022-07-16 02:00:00,0.00417
2022-07-16 08:00:00,49.2
2022-07-16 14:00:00,98.5
2022-07-16 20:00:00,19.7
2022-07-17 02:00:00,0.00208
2022-07-17 08:00:00,52.2
2022-07-17 14:00:00,98.5
2022-07-17 20:00:00,18.9
2022-07-18 02:00:00,0
2022-07-18 08:00:00,28.3
2022-07-18 14:00:00,92.6
2022-07-18 20:00:00,7.13
2022-07-19 02:00:00,0
2022-07-19 08:00:00,14.8
2022-07-19 14:00:00,88.7
2022-07-19 20:00:00,8.83
2022-07-20 02:00:00,0
2022-07-20 08:00:00,3.92
2022-07-21 02:00:00,0
2022-07-21 08:00:00,2.89
2022-07-21 14:00:00,54.3
2022-07-21 20:00:00,1.22
2022-07-22 02:00:00,0.00417
2022-07-22 08:00:00,36.0
2022-07-22 14:00:00,91.5
2022-07-22 20:00:00,4.77
2022-07-23 02:00:00,0.00347
2022-07-23 08:00:00,42.6
2022-07-23 14:00:00,95.4
2022-07-23 20:00:00,11.0
2022-07-24 02:00:00,0.00417
2022-07-24 08:00:00,51.3
2022-07-24 14:00:00,96.7
2022-07-24 20:00:00,12.5
2022-07-25 02:00:00,0.00417
2022-07-25 08:00:00,14.4
2022-07-25 14:00:00,5.94
2022-07-25 20:00:00,0
2022-07-26 02:00:00,0
2022-07-26 08:00:00,10.4
2022-07-26 14:00:00,41.3
2022-07-26 20:00:00,0.329
2022-07-27 02:00:00,0.00347
2022-07-27 08:00:00,26.1
2022-07-27 14:00:00,91.7
2022-07-27 20:00:00,10.3
2022-07-28 02:00:00,0.00417
2022-07-28 08:00:00,22.2
2022-07-28 14:00:00,80.3
2022-07-28 20:00:00,2.13
2022-07-29 02:00:00,0.00417
2022-07-29 08:00:00,13.9
2022-07-29 14:00:00,26.0
2022-07-29 20:00:00,0
2022-07-30 02:00:00,0.00347
2022-07-30 08:00:00,34.8
2022-07-30 14:00:00,94.7
2022-07-30 20:00:00,12.5
2022-07-31 02:00:00,0.00347
2022-07-31 08:00:00,33.9
2022-07-31 14:00:00,90.4
2022-07-31 20:00:00,9.85
2022-08-01 02:00:00,0.00417
2022-08-01 08:00:00,4.37
2022-08-01 14:00:00,3.46
2022-08-01 20:00:00,2999279
2022-08-02 02:00:00,0
2022-08-02 08:00:00,24.6
2022-08-02 14:00:00,90.8
2022-08-02 20:00:00,5.86
2022-08-03 02:00:00,0
2022-08-03 08:00:00,15.2
2022-08-03 14:00:00,74.3
2022-08-03 20:00:00,2.93
2022-08-04 02:00:00,0.00417
2022-08-04 08:00:00,17.5
2022-08-04 14:00:00,84.5
2022-08-04 20:00:00,2.21
2022-08-05 02:00:00,0.00417
2022-08-05 08:00:00,14.0
2022-08-05 14:00:00,68.2
2022-08-05 20:00:00,0.0174
2022-08-06 02:00:00,0.00347
2022-08-06 08:00:00,47.2
2022-08-06 14:00:00,96.8
2022-08-06 20:00:00,13.5
2022-08-07 02:00:00,0.00347
2022-08-07 08:00:00,52.3
2022-08-07 14:00:00,96.0
2022-08-07 20:00:00,10.9
2022-08-08 02:00:00,0
2022-08-08 08:00:00,35.4
2022-08-08 14:00:00,94.0
2022-08-08 20:00:00,7.14
2022-08-09 02:00:00,0.00350
2022-08-09 08:00:00,0.159
2022-08-09 14:00:00,0
2022-08-09 20:00:00,0
2022-08-10 02:00:00,0
2022-08-10 08:00:00,0
2022-08-10 14:00:00,0
2022-08-10 20:00:00,0.00347
2022-08-11 02:00:00,0.00347
2022-08-11 08:00:00,0.0604
2022-08-11 14:00:00,18.4
2022-08-11 20:00:00,0.00625
2022-08-12 02:00:00,0
2022-08-12 08:00:00,41.5
2022-08-12 14:00:00,96.9
2022-08-12 20:00:00,19.8
2022-08-13 02:00:00,0.00417
2022-08-13 08:00:00,52.7
2022-08-13 14:00:00,98.0
2022-08-13 20:00:00,22.3
2022-08-14 02:00:00,0
2022-08-14 08:00:00,49.9
2022-08-14 14:00:00,94.1
2022-08-14 20:00:00,11.8
2022-08-15 02:00:00,0
2022-08-15 08:00:00,12.0
2022-08-15 14:00:00,68.3
2022-08-15 20:00:00,6.96
2022-08-16 02:00:00,0.00349
2022-08-16 08:00:00,16.7
2022-08-16 14:00:00,91.2
2022-08-16 20:00:00,13.6
2022-08-17 02:00:00,0.00347
2022-08-17 08:00:00,0.151
2022-08-17 14:00:00,15.9
2022-08-17 20:00:00,0
2022-08-18 02:00:00,0
2022-08-18 08:00:00,0.532
2022-08-18 14:00:00,41.6
2022-08-18 20:00:00,0.0299
2022-08-19 02:00:00,0.00417
2022-08-19 08:00:00,22.9
2022-08-19 14:00:00,78.6
2022-08-19 20:00:00,3.80
2022-08-20 02:00:00,0.00417
2022-08-20 08:00:00,19.2
2022-08-20 14:00:00,96.7
2022-08-20 20:00:00,20.9
2022-08-21 02:00:00,0.00208
2022-08-21 08:00:00,53.0
2022-08-21 14:00:00,97.8
2022-08-21 20:00:00,21.1
2022-08-22 02:00:00,0.00139
2022-08-22 08:00:00,42.9
2022-08-22 14:00:00,97.0
2022-08-22 20:00:00,15.3
2022-08-23 02:00:00,0
2022-08-23 08:00:00,46.7
2022-08-23 14:00:00,91.4
2022-08-23 20:00:00,9.24
2022-08-24 02:00:00,0.00417
2022-08-24 08:00:00,28.9
2022-08-24 14:00:00,91.3
2022-08-24 20:00:00,6.77
2022-08-25 02:00:00,0.00417
2022-08-25 08:00:00,23.4
2022-08-25 14:00:00,89.0
2022-08-25 20:00:00,5.34
2022-08-26 02:00:00,0
2022-08-26 08:00:00,18.0
2022-08-26 14:00:00,78.3
2022-08-26 20:00:00,0.645
2022-08-27 02:00:00,0
2022-08-27 08:00:00,0
2022-08-27 14:00:00,11.1
2022-08-27 20:00:00,0.00139
2022-08-28 02:00:00,0
2022-08-28 08:00:00,26.0
2022-08-28 14:00:00,93.6
2022-08-28 20:00:00,16.7
2022-08-29 02:00:00,0
2022-08-29 08:00:00,29.2
2022-08-29 14:00:00,93.7
2022-08-29 20:00:00,10.4
2022-08-30 02:00:00,0
2022-08-30 08:00:00,14.6
2022-08-30 14:00:00,54.8
2022-08-30 20:00:00,0
2022-08-31 02:00:00,0.00347
2022-08-31 08:00:00,0
2022-08-31 14:00:00,0.142
2022-08-31 20:00:00,0

