Time,currentactivepower,plantactivepower,PriceInMWh,PriceInkWh
1.68816E+12,0,-11.43689583,109.47,0.10947
1.68817E+12,0,-11.02007292,109.74,0.10974
1.68817E+12,0,-9.6558125,108.91,0.10891
1.68817E+12,0,-7.840677083,104.31,0.10431
1.68818E+12,0,-8.259927083,99.14,0.09914
1.68818E+12,0.154066667,-7.925108333,98.11,0.09811
1.68818E+12,2.54978125,-7.915385417,84.11,0.08411
1.68819E+12,7.174245833,-8.436964583,78.63,0.07863
1.68819E+12,13.92209583,-13.9997,85.75,0.08575
1.68819E+12,21.1361125,-20.57068542,78.03,0.07803
1.6882E+12,29.14346667,-20.90071667,64.9,0.0649
1.6882E+12,25.41592708,-14.0301875,43.79,0.04379
1.68821E+12,19.6828125,-11.563625,24.61,0.02461
1.68821E+12,18.53392292,-8.970995833,16.83,0.01683
1.68821E+12,25.99318333,-8.978870833,4.43,0.00443
1.68822E+12,22.70491875,-8.8132,0.07,0.00007
1.68822E+12,11.57677292,-9.2898875,0.97,0.00097
1.68822E+12,11.85101875,-8.799102083,12.31,0.01231
1.68823E+12,8.109258333,-7.93108125,54.59,0.05459
1.68823E+12,7.2204875,-7.137560417,77.14,0.07714
1.68823E+12,1.544033333,-1.813179167,82.36,0.08236
1.68824E+12,0.018520833,-0.333322917,89.6,0.0896
1.68824E+12,0,-0.257770833,92.79,0.09279
1.68825E+12,0,-2.419708333,92.97,0.09297
1.68825E+12,0,-4.9255,89.86,0.08986
1.68825E+12,0,-7.859989583,16.45,0.01645
1.68826E+12,0,-7.9240625,3.17,0.00317
1.68826E+12,0,-7.9040625,0.01,0.00001
1.68826E+12,0,-7.769177083,0,0
1.68827E+12,0.063622917,-7.735133333,-0.03,-0.00003
1.68827E+12,2.23383125,-8.04951875,-0.05,-0.00005
1.68827E+12,3.8950625,-8.0835625,-0.05,-0.00005
1.68828E+12,13.2429,-13.29799375,-0.5,-0.0005
1.68828E+12,24.6417125,-21.9122125,-2.95,-0.00295
1.68828E+12,29.18955417,-21.00054375,-15.07,-0.01507
1.68829E+12,29.34953125,-14.65986458,-37,-0.037
1.68829E+12,19.32170625,-9.26958125,-98.11,-0.09811
