"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              01/07/2022 00:00 - 01/07/2022 01:00,"BZN|DE-LU","PT60M",268.71,"EUR"
              01/07/2022 01:00 - 01/07/2022 02:00,"BZN|DE-LU","PT60M",265.86,"EUR"
              01/07/2022 02:00 - 01/07/2022 03:00,"BZN|DE-LU","PT60M",268.01,"EUR"
              01/07/2022 03:00 - 01/07/2022 04:00,"BZN|DE-LU","PT60M",266.12,"EUR"
              01/07/2022 04:00 - 01/07/2022 05:00,"BZN|DE-LU","PT60M",265.38,"EUR"
              01/07/2022 05:00 - 01/07/2022 06:00,"BZN|DE-LU","PT60M",282.13,"EUR"
              01/07/2022 06:00 - 01/07/2022 07:00,"BZN|DE-LU","PT60M",355.19,"EUR"
              01/07/2022 07:00 - 01/07/2022 08:00,"BZN|DE-LU","PT60M",378.85,"EUR"
              01/07/2022 08:00 - 01/07/2022 09:00,"BZN|DE-LU","PT60M",385.19,"EUR"
              01/07/2022 09:00 - 01/07/2022 10:00,"BZN|DE-LU","PT60M",378.00,"EUR"
              01/07/2022 10:00 - 01/07/2022 11:00,"BZN|DE-LU","PT60M",360.06,"EUR"
              01/07/2022 11:00 - 01/07/2022 12:00,"BZN|DE-LU","PT60M",354.77,"EUR"
              01/07/2022 12:00 - 01/07/2022 13:00,"BZN|DE-LU","PT60M",325.63,"EUR"
              01/07/2022 13:00 - 01/07/2022 14:00,"BZN|DE-LU","PT60M",300.72,"EUR"
              01/07/2022 14:00 - 01/07/2022 15:00,"BZN|DE-LU","PT60M",266.68,"EUR"
              01/07/2022 15:00 - 01/07/2022 16:00,"BZN|DE-LU","PT60M",261.06,"EUR"
              01/07/2022 16:00 - 01/07/2022 17:00,"BZN|DE-LU","PT60M",220.69,"EUR"
              01/07/2022 17:00 - 01/07/2022 18:00,"BZN|DE-LU","PT60M",259.95,"EUR"
              01/07/2022 18:00 - 01/07/2022 19:00,"BZN|DE-LU","PT60M",289.07,"EUR"
              01/07/2022 19:00 - 01/07/2022 20:00,"BZN|DE-LU","PT60M",329.39,"EUR"
              01/07/2022 20:00 - 01/07/2022 21:00,"BZN|DE-LU","PT60M",359.56,"EUR"
              01/07/2022 21:00 - 01/07/2022 22:00,"BZN|DE-LU","PT60M",356.91,"EUR"
              01/07/2022 22:00 - 01/07/2022 23:00,"BZN|DE-LU","PT60M",385.00,"EUR"
              01/07/2022 23:00 - 02/07/2022 00:00,"BZN|DE-LU","PT60M",362.30,"EUR"
              02/07/2022 00:00 - 02/07/2022 01:00,"BZN|DE-LU","PT60M",285.72,"EUR"
              02/07/2022 01:00 - 02/07/2022 02:00,"BZN|DE-LU","PT60M",255.00,"EUR"
              02/07/2022 02:00 - 02/07/2022 03:00,"BZN|DE-LU","PT60M",237.20,"EUR"
              02/07/2022 03:00 - 02/07/2022 04:00,"BZN|DE-LU","PT60M",230.71,"EUR"
              02/07/2022 04:00 - 02/07/2022 05:00,"BZN|DE-LU","PT60M",222.31,"EUR"
              02/07/2022 05:00 - 02/07/2022 06:00,"BZN|DE-LU","PT60M",214.20,"EUR"
              02/07/2022 06:00 - 02/07/2022 07:00,"BZN|DE-LU","PT60M",233.84,"EUR"
              02/07/2022 07:00 - 02/07/2022 08:00,"BZN|DE-LU","PT60M",244.56,"EUR"
              02/07/2022 08:00 - 02/07/2022 09:00,"BZN|DE-LU","PT60M",208.60,"EUR"
              02/07/2022 09:00 - 02/07/2022 10:00,"BZN|DE-LU","PT60M",154.08,"EUR"
              02/07/2022 10:00 - 02/07/2022 11:00,"BZN|DE-LU","PT60M",125.00,"EUR"
              02/07/2022 11:00 - 02/07/2022 12:00,"BZN|DE-LU","PT60M",113.85,"EUR"
              02/07/2022 12:00 - 02/07/2022 13:00,"BZN|DE-LU","PT60M",89.37,"EUR"
              02/07/2022 13:00 - 02/07/2022 14:00,"BZN|DE-LU","PT60M",76.33,"EUR"
              02/07/2022 14:00 - 02/07/2022 15:00,"BZN|DE-LU","PT60M",89.34,"EUR"
              02/07/2022 15:00 - 02/07/2022 16:00,"BZN|DE-LU","PT60M",89.17,"EUR"
              02/07/2022 16:00 - 02/07/2022 17:00,"BZN|DE-LU","PT60M",131.11,"EUR"
              02/07/2022 17:00 - 02/07/2022 18:00,"BZN|DE-LU","PT60M",240.30,"EUR"
              02/07/2022 18:00 - 02/07/2022 19:00,"BZN|DE-LU","PT60M",285.03,"EUR"
              02/07/2022 19:00 - 02/07/2022 20:00,"BZN|DE-LU","PT60M",350.00,"EUR"
              02/07/2022 20:00 - 02/07/2022 21:00,"BZN|DE-LU","PT60M",362.85,"EUR"
              02/07/2022 21:00 - 02/07/2022 22:00,"BZN|DE-LU","PT60M",359.96,"EUR"
              02/07/2022 22:00 - 02/07/2022 23:00,"BZN|DE-LU","PT60M",353.44,"EUR"
              02/07/2022 23:00 - 03/07/2022 00:00,"BZN|DE-LU","PT60M",302.17,"EUR"
              03/07/2022 00:00 - 03/07/2022 01:00,"BZN|DE-LU","PT60M",270.08,"EUR"
              03/07/2022 01:00 - 03/07/2022 02:00,"BZN|DE-LU","PT60M",237.95,"EUR"
              03/07/2022 02:00 - 03/07/2022 03:00,"BZN|DE-LU","PT60M",199.08,"EUR"
              03/07/2022 03:00 - 03/07/2022 04:00,"BZN|DE-LU","PT60M",195.60,"EUR"
              03/07/2022 04:00 - 03/07/2022 05:00,"BZN|DE-LU","PT60M",185.60,"EUR"
              03/07/2022 05:00 - 03/07/2022 06:00,"BZN|DE-LU","PT60M",182.71,"EUR"
              03/07/2022 06:00 - 03/07/2022 07:00,"BZN|DE-LU","PT60M",176.71,"EUR"
              03/07/2022 07:00 - 03/07/2022 08:00,"BZN|DE-LU","PT60M",192.31,"EUR"
              03/07/2022 08:00 - 03/07/2022 09:00,"BZN|DE-LU","PT60M",185.07,"EUR"
              03/07/2022 09:00 - 03/07/2022 10:00,"BZN|DE-LU","PT60M",170.26,"EUR"
              03/07/2022 10:00 - 03/07/2022 11:00,"BZN|DE-LU","PT60M",128.20,"EUR"
              03/07/2022 11:00 - 03/07/2022 12:00,"BZN|DE-LU","PT60M",107.43,"EUR"
              03/07/2022 12:00 - 03/07/2022 13:00,"BZN|DE-LU","PT60M",93.10,"EUR"
              03/07/2022 13:00 - 03/07/2022 14:00,"BZN|DE-LU","PT60M",68.55,"EUR"
              03/07/2022 14:00 - 03/07/2022 15:00,"BZN|DE-LU","PT60M",65.82,"EUR"
              03/07/2022 15:00 - 03/07/2022 16:00,"BZN|DE-LU","PT60M",74.46,"EUR"
              03/07/2022 16:00 - 03/07/2022 17:00,"BZN|DE-LU","PT60M",123.80,"EUR"
              03/07/2022 17:00 - 03/07/2022 18:00,"BZN|DE-LU","PT60M",175.99,"EUR"
              03/07/2022 18:00 - 03/07/2022 19:00,"BZN|DE-LU","PT60M",272.77,"EUR"
              03/07/2022 19:00 - 03/07/2022 20:00,"BZN|DE-LU","PT60M",327.00,"EUR"
              03/07/2022 20:00 - 03/07/2022 21:00,"BZN|DE-LU","PT60M",340.10,"EUR"
              03/07/2022 21:00 - 03/07/2022 22:00,"BZN|DE-LU","PT60M",348.43,"EUR"
              03/07/2022 22:00 - 03/07/2022 23:00,"BZN|DE-LU","PT60M",348.45,"EUR"
              03/07/2022 23:00 - 04/07/2022 00:00,"BZN|DE-LU","PT60M",333.06,"EUR"
              04/07/2022 00:00 - 04/07/2022 01:00,"BZN|DE-LU","PT60M",319.65,"EUR"
              04/07/2022 01:00 - 04/07/2022 02:00,"BZN|DE-LU","PT60M",277.83,"EUR"
              04/07/2022 02:00 - 04/07/2022 03:00,"BZN|DE-LU","PT60M",265.16,"EUR"
              04/07/2022 03:00 - 04/07/2022 04:00,"BZN|DE-LU","PT60M",254.35,"EUR"
              04/07/2022 04:00 - 04/07/2022 05:00,"BZN|DE-LU","PT60M",258.03,"EUR"
              04/07/2022 05:00 - 04/07/2022 06:00,"BZN|DE-LU","PT60M",302.44,"EUR"
              04/07/2022 06:00 - 04/07/2022 07:00,"BZN|DE-LU","PT60M",361.88,"EUR"
              04/07/2022 07:00 - 04/07/2022 08:00,"BZN|DE-LU","PT60M",376.00,"EUR"
              04/07/2022 08:00 - 04/07/2022 09:00,"BZN|DE-LU","PT60M",385.17,"EUR"
              04/07/2022 09:00 - 04/07/2022 10:00,"BZN|DE-LU","PT60M",366.00,"EUR"
              04/07/2022 10:00 - 04/07/2022 11:00,"BZN|DE-LU","PT60M",291.70,"EUR"
              04/07/2022 11:00 - 04/07/2022 12:00,"BZN|DE-LU","PT60M",221.30,"EUR"
              04/07/2022 12:00 - 04/07/2022 13:00,"BZN|DE-LU","PT60M",181.80,"EUR"
              04/07/2022 13:00 - 04/07/2022 14:00,"BZN|DE-LU","PT60M",184.36,"EUR"
              04/07/2022 14:00 - 04/07/2022 15:00,"BZN|DE-LU","PT60M",172.35,"EUR"
              04/07/2022 15:00 - 04/07/2022 16:00,"BZN|DE-LU","PT60M",171.19,"EUR"
              04/07/2022 16:00 - 04/07/2022 17:00,"BZN|DE-LU","PT60M",182.64,"EUR"
              04/07/2022 17:00 - 04/07/2022 18:00,"BZN|DE-LU","PT60M",211.10,"EUR"
              04/07/2022 18:00 - 04/07/2022 19:00,"BZN|DE-LU","PT60M",329.99,"EUR"
              04/07/2022 19:00 - 04/07/2022 20:00,"BZN|DE-LU","PT60M",379.62,"EUR"
              04/07/2022 20:00 - 04/07/2022 21:00,"BZN|DE-LU","PT60M",398.72,"EUR"
              04/07/2022 21:00 - 04/07/2022 22:00,"BZN|DE-LU","PT60M",385.52,"EUR"
              04/07/2022 22:00 - 04/07/2022 23:00,"BZN|DE-LU","PT60M",396.92,"EUR"
              04/07/2022 23:00 - 05/07/2022 00:00,"BZN|DE-LU","PT60M",379.64,"EUR"
              05/07/2022 00:00 - 05/07/2022 01:00,"BZN|DE-LU","PT60M",359.96,"EUR"
              05/07/2022 01:00 - 05/07/2022 02:00,"BZN|DE-LU","PT60M",319.24,"EUR"
              05/07/2022 02:00 - 05/07/2022 03:00,"BZN|DE-LU","PT60M",309.33,"EUR"
              05/07/2022 03:00 - 05/07/2022 04:00,"BZN|DE-LU","PT60M",301.08,"EUR"
              05/07/2022 04:00 - 05/07/2022 05:00,"BZN|DE-LU","PT60M",299.91,"EUR"
              05/07/2022 05:00 - 05/07/2022 06:00,"BZN|DE-LU","PT60M",324.82,"EUR"
              05/07/2022 06:00 - 05/07/2022 07:00,"BZN|DE-LU","PT60M",380.47,"EUR"
              05/07/2022 07:00 - 05/07/2022 08:00,"BZN|DE-LU","PT60M",412.59,"EUR"
              05/07/2022 08:00 - 05/07/2022 09:00,"BZN|DE-LU","PT60M",409.61,"EUR"
              05/07/2022 09:00 - 05/07/2022 10:00,"BZN|DE-LU","PT60M",338.68,"EUR"
              05/07/2022 10:00 - 05/07/2022 11:00,"BZN|DE-LU","PT60M",283.72,"EUR"
              05/07/2022 11:00 - 05/07/2022 12:00,"BZN|DE-LU","PT60M",286.60,"EUR"
              05/07/2022 12:00 - 05/07/2022 13:00,"BZN|DE-LU","PT60M",243.95,"EUR"
              05/07/2022 13:00 - 05/07/2022 14:00,"BZN|DE-LU","PT60M",227.94,"EUR"
              05/07/2022 14:00 - 05/07/2022 15:00,"BZN|DE-LU","PT60M",210.95,"EUR"
              05/07/2022 15:00 - 05/07/2022 16:00,"BZN|DE-LU","PT60M",213.06,"EUR"
              05/07/2022 16:00 - 05/07/2022 17:00,"BZN|DE-LU","PT60M",237.80,"EUR"
              05/07/2022 17:00 - 05/07/2022 18:00,"BZN|DE-LU","PT60M",301.14,"EUR"
              05/07/2022 18:00 - 05/07/2022 19:00,"BZN|DE-LU","PT60M",336.25,"EUR"
              05/07/2022 19:00 - 05/07/2022 20:00,"BZN|DE-LU","PT60M",363.98,"EUR"
              05/07/2022 20:00 - 05/07/2022 21:00,"BZN|DE-LU","PT60M",370.00,"EUR"
              05/07/2022 21:00 - 05/07/2022 22:00,"BZN|DE-LU","PT60M",370.40,"EUR"
              05/07/2022 22:00 - 05/07/2022 23:00,"BZN|DE-LU","PT60M",378.29,"EUR"
              05/07/2022 23:00 - 06/07/2022 00:00,"BZN|DE-LU","PT60M",361.16,"EUR"
              06/07/2022 00:00 - 06/07/2022 01:00,"BZN|DE-LU","PT60M",351.39,"EUR"
              06/07/2022 01:00 - 06/07/2022 02:00,"BZN|DE-LU","PT60M",309.30,"EUR"
              06/07/2022 02:00 - 06/07/2022 03:00,"BZN|DE-LU","PT60M",293.84,"EUR"
              06/07/2022 03:00 - 06/07/2022 04:00,"BZN|DE-LU","PT60M",280.18,"EUR"
