"Time","EDM: Balance"
1625090400000,-13475.520833333334
1625094000000,-13472.824267782427
1625097600000,-14105.166666666666
1625101200000,-12782.541666666666
1625104800000,-13033.75
1625108400000,-14648.875
1625112000000,-12692.708333333334
1625115600000,-12445.041666666666
1625119200000,-12820.583333333334
1625122800000,-13939.25
1625126400000,-8890.627615062762
1625130000000,-10394.854166666666
1625133600000,-4663.041666666667
1625137200000,-6395.708333333333
1625140800000,-14230.4375
1625144400000,-12445.794979079497
1625148000000,-5793.1875
1625151600000,-8065.604166666667
1625155200000,-7104.604166666667
1625158800000,-9193.041666666666
1625162400000,-11949.208333333334
1625166000000,-12986.6875
1625169600000,-12762.458333333334
1625173200000,-12466.541666666666
1625176800000,-13040.854166666666
1625180400000,-12284.375
1625184000000,-12487.791666666666
1625187600000,-13194.770833333334
1625191200000,-12020.041666666666
1625194800000,-11458.583333333334
1625198400000,-9276.395833333334
1625202000000,-4176.1875
1625205600000,109.72916666666667
1625209200000,1535.7083333333333
1625212800000,2861.8125
1625216400000,9559.020833333334
1625220000000,12918.895833333334
1625223600000,14427.604166666666
1625227200000,16392.5
1625230800000,19794.9375
1625234400000,14198.791666666666
1625238000000,10514.979166666666
1625241600000,2963.125
1625245200000,166.54166666666666
1625248800000,-857.0833333333334
1625252400000,-3936.875
1625256000000,-8700.520833333334
1625259600000,-8520.6875
1625263200000,-11126.833333333334
1625266800000,-11260.209205020921
1625270400000,-11471.395833333334
1625274000000,-11724.791666666666
1625277600000,-10710.666666666666
1625281200000,-10894.895833333334
1625284800000,-8876.895833333334
1625288400000,-2782.625
1625292000000,128
1625295600000,1938.375
1625299200000,8270
1625302800000,25559.125
1625306400000,27035.270833333332
1625310000000,32023.625
1625313600000,32189.708333333332
1625317200000,27356.354166666668
1625320800000,17026.291666666668
1625324400000,2744.2291666666665
1625328000000,-605.1875
1625331600000,-244.58333333333334
1625335200000,-757.4166666666666
1625338800000,-8138.104166666667
1625342400000,-9167.9375
1625346000000,-9086
1625349600000,-13150.375
1625353200000,-12149.604166666666
1625356800000,-11804.104166666666
1625360400000,-12757.9375
1625364000000,-12114.541666666666
1625367600000,-12369.208333333334
1625371200000,-9846.020833333334
1625374800000,-4979.541666666667
1625378400000,50.125
1625382000000,313.8958333333333
1625385600000,2353.8333333333335
1625389200000,471.8333333333333
1625392800000,-236.5625
