"Time","Power Consumption 0445-ZE01-70","Power Consumption 0445-ZE02-70","Power Consumption 0445-ZE11-71","Power Consumption 0445-ZE13-71"
2022-05-01 00:00:00,3.02,3.77,0,
2022-05-01 02:00:00,2.98,3.77,0,
2022-05-01 04:00:00,2.99,3.78,0,
2022-05-01 06:00:00,2.41,3.77,0.438,
2022-05-01 08:00:00,0.594,3.77,2.32,
2022-05-01 10:00:00,0.0234,3.78,3.11,
2022-05-01 12:00:00,0.00781,3.77,3.48,
2022-05-01 14:00:00,0.00781,3.77,3.84,
2022-05-01 16:00:00,0,3.78,3.88,
2022-05-01 18:00:00,0.0313,3.75,3.74,
2022-05-01 20:00:00,1.55,3.75,1.80,
2022-05-01 22:00:00,2.90,3.77,0.270,
2022-05-02 00:00:00,3.20,3.77,0,
2022-05-02 02:00:00,3.03,3.76,0,
2022-05-02 04:00:00,3.35,3.76,0.0100,
2022-05-02 06:00:00,3.45,3.77,0.610,
2022-05-02 08:00:00,0.922,3.75,3.91,
2022-05-02 10:00:00,0.445,3.76,5.48,
2022-05-02 12:00:00,0.00781,3.79,7.23,
2022-05-02 14:00:00,0.0156,3.84,7.79,
2022-05-02 16:00:00,0.0938,3.79,6.01,
2022-05-02 18:00:00,0.953,3.74,4.03,
2022-05-02 20:00:00,2.96,3.69,0.904,
2022-05-02 22:00:00,3.04,3.71,0,
2022-05-03 00:00:00,3.20,3.70,0.00800,
2022-05-03 02:00:00,3.05,3.71,0.0100,
2022-05-03 04:00:00,3.16,3.69,0.0140,
2022-05-03 06:00:00,3.45,3.60,0.480,
2022-05-03 08:00:00,1.07,3.63,3.43,
2022-05-03 10:00:00,0.00781,3.63,5.54,
2022-05-03 12:00:00,0.117,3.68,8.34,
2022-05-03 14:00:00,0.141,3.73,6.35,
2022-05-03 16:00:00,0.148,3.73,5.39,
2022-05-03 18:00:00,2.20,3.69,2.13,
2022-05-03 20:00:00,3.63,3.70,0.00800,
2022-05-03 22:00:00,3.31,3.69,0,
2022-05-04 00:00:00,3.15,3.65,0.00800,
2022-05-04 02:00:00,3.37,3.63,0.0160,
2022-05-04 04:00:00,3.26,3.63,0.0220,
2022-05-04 06:00:00,3.34,3.63,0.478,
2022-05-04 08:00:00,0.914,3.63,4.19,
2022-05-04 10:00:00,0.0313,3.64,5.80,
2022-05-04 12:00:00,0.0313,3.66,6.35,
2022-05-04 14:00:00,0.00781,3.68,8.69,
2022-05-04 16:00:00,0.0625,3.71,5.76,
2022-05-04 18:00:00,0.461,3.81,3.67,
2022-05-04 20:00:00,2.79,3.83,0.966,
2022-05-04 22:00:00,3.23,3.80,0,
2022-05-05 00:00:00,3.20,3.82,0.0100,
2022-05-05 02:00:00,3.37,3.78,0,
2022-05-05 04:00:00,3.49,3.70,0.0200,
2022-05-05 06:00:00,3.47,3.70,0.306,
2022-05-05 08:00:00,3.91,3.68,0.932,
2022-05-05 10:00:00,4.38,3.67,1.28,
2022-05-05 12:00:00,3.85,3.71,1.63,
2022-05-05 14:00:00,2.05,3.82,3.07,
2022-05-05 16:00:00,2.07,3.80,2.84,
2022-05-05 18:00:00,3.32,3.82,0.856,
2022-05-05 20:00:00,3.37,3.80,0.170,
2022-05-05 22:00:00,2.97,3.82,0,
2022-05-06 00:00:00,2.93,3.81,0,
2022-05-06 02:00:00,3.04,3.80,0,
2022-05-06 04:00:00,2.95,3.81,0,
2022-05-06 06:00:00,2.98,3.77,0.350,
2022-05-06 08:00:00,2.96,3.75,1.71,
2022-05-06 10:00:00,0.398,3.76,4.52,
2022-05-06 12:00:00,0.00781,3.77,5.90,
2022-05-06 14:00:00,0,3.74,8.40,
2022-05-06 16:00:00,0,3.77,7.61,
2022-05-06 18:00:00,0.0391,3.77,3.84,
2022-05-06 20:00:00,0.0859,3.73,2.72,
2022-05-06 22:00:00,1.36,3.74,1.13,
2022-05-07 00:00:00,2.34,3.76,0,
2022-05-07 02:00:00,2.28,3.77,0,
2022-05-07 04:00:00,2.27,3.76,0.0180,
2022-05-07 06:00:00,1.51,3.74,0.640,
2022-05-07 08:00:00,0.0391,3.73,2.56,
2022-05-07 10:00:00,0,3.73,6.45,
2022-05-07 12:00:00,0,3.70,9.87,
2022-05-07 14:00:00,0,3.70,7.50,
2022-05-07 16:00:00,0.00781,3.70,5.18,
2022-05-07 18:00:00,0.0313,3.70,3.40,
2022-05-07 20:00:00,0.0703,3.70,2.32,
2022-05-07 22:00:00,0.836,3.70,1.65,
2022-05-08 00:00:00,2.34,3.72,0,
2022-05-08 02:00:00,2.48,3.72,0,
2022-05-08 04:00:00,2.31,3.70,0,
2022-05-08 06:00:00,1.52,3.67,0.686,
2022-05-08 08:00:00,0.0703,3.67,2.54,
2022-05-08 10:00:00,0,3.68,5.33,
2022-05-08 12:00:00,0,3.67,8.50,
2022-05-08 14:00:00,0,3.67,9.38,
2022-05-08 16:00:00,0,3.68,6.87,
2022-05-08 18:00:00,0.0391,3.67,2.93,
2022-05-08 20:00:00,0.594,3.68,1.88,
2022-05-08 22:00:00,1.08,3.68,1.39,
2022-05-09 00:00:00,2.33,3.67,0.0840,
2022-05-09 02:00:00,2.50,3.67,0,
2022-05-09 04:00:00,2.45,3.68,0.00800,
2022-05-09 06:00:00,2.24,3.65,0.668,
2022-05-09 08:00:00,0.305,3.66,3.92,
2022-05-09 10:00:00,0,3.66,6.56,
2022-05-09 12:00:00,0,3.67,9.58,
2022-05-09 14:00:00,0.00781,3.71,9.99,
2022-05-09 16:00:00,0.0938,3.66,7.12,
2022-05-09 18:00:00,0.281,3.65,3.83,
2022-05-09 20:00:00,1.27,3.64,1.87,
2022-05-09 22:00:00,2.22,3.64,0.426,
2022-05-10 00:00:00,2.58,3.61,0,
2022-05-10 02:00:00,2.73,3.61,0,
2022-05-10 04:00:00,2.70,3.61,0.00800,
2022-05-10 06:00:00,2.13,3.61,0.926,
2022-05-10 08:00:00,0.492,3.62,3.96,
2022-05-10 10:00:00,0,3.63,6.62,
2022-05-10 12:00:00,0,3.61,8.24,
2022-05-10 14:00:00,0,3.62,8.11,
2022-05-10 16:00:00,0.117,3.63,5.61,
2022-05-10 18:00:00,0.758,3.63,3.63,
2022-05-10 20:00:00,2.52,3.60,1.04,
2022-05-10 22:00:00,2.73,3.61,0,
2022-05-11 00:00:00,2.60,3.58,0.00600,
2022-05-11 02:00:00,2.73,3.56,0.0120,
2022-05-11 04:00:00,2.72,3.58,0.0100,
2022-05-11 06:00:00,2.52,3.56,0.636,
2022-05-11 08:00:00,0.492,3.57,4.06,
2022-05-11 10:00:00,0,3.57,6.81,
2022-05-11 12:00:00,0,3.60,9.31,
2022-05-11 14:00:00,0.305,3.71,9.27,
2022-05-11 16:00:00,0.0938,3.74,7.01,
2022-05-11 18:00:00,0.688,3.78,4.63,
2022-05-11 20:00:00,3,3.71,1.59,
2022-05-11 22:00:00,3.38,3.65,0.0640,
2022-05-12 00:00:00,3.51,3.64,0,
2022-05-12 02:00:00,3.40,3.63,0.0100,
2022-05-12 04:00:00,3.38,3.62,0.0100,
2022-05-12 06:00:00,3.20,3.61,0.360,
2022-05-12 08:00:00,1.45,3.66,3.21,
2022-05-12 10:00:00,0.383,3.69,5.62,
2022-05-12 12:00:00,0.172,3.74,7.10,
2022-05-12 14:00:00,0.117,3.77,8.12,
2022-05-12 16:00:00,0.609,3.70,5.57,
2022-05-12 18:00:00,2.45,3.64,2.24,
2022-05-12 20:00:00,3.95,3.59,0.170,
2022-05-12 22:00:00,3.60,3.59,0,
2022-05-13 00:00:00,3.67,3.58,0,
2022-05-13 02:00:00,3.65,3.56,0,
2022-05-13 04:00:00,3.47,3.56,0,
2022-05-13 06:00:00,3.91,3.57,0.170,
2022-05-13 08:00:00,4.04,3.62,1.26,
2022-05-13 10:00:00,0.930,3.65,5.91,
2022-05-13 12:00:00,0,3.68,8.64,
2022-05-13 14:00:00,0,3.80,9.48,
2022-05-13 16:00:00,0.0234,3.88,7.57,
2022-05-13 18:00:00,0.0781,3.88,4.69,
2022-05-13 20:00:00,0.789,3.84,2.85,
2022-05-13 22:00:00,2.94,3.83,0.322,
2022-05-14 00:00:00,2.91,3.82,0,
2022-05-14 02:00:00,2.74,3.83,0.00800,
2022-05-14 04:00:00,2.91,3.80,0.0100,
2022-05-14 06:00:00,2.02,3.81,0.670,
2022-05-14 08:00:00,0.0391,3.82,3.04,
2022-05-14 10:00:00,0,3.80,6.34,
2022-05-14 12:00:00,0,3.82,10.4,
2022-05-14 14:00:00,0,3.80,10.00,
2022-05-14 16:00:00,0.00781,3.81,7.15,
2022-05-14 18:00:00,0.0781,3.80,3.78,
2022-05-14 20:00:00,0.164,3.80,2.85,
2022-05-14 22:00:00,1.75,3.82,1.21,
2022-05-15 00:00:00,2.51,3.81,0,
2022-05-15 02:00:00,2.88,3.80,0,
2022-05-15 04:00:00,2.47,3.80,0,
2022-05-15 06:00:00,1.93,3.79,0.736,
2022-05-15 08:00:00,0.117,3.80,3.02,
2022-05-15 10:00:00,0,3.77,5.79,
2022-05-15 12:00:00,0,3.78,10.2,
2022-05-15 14:00:00,0,3.80,9.92,
2022-05-15 16:00:00,0.00781,3.83,7.24,
2022-05-15 18:00:00,0.0313,3.84,3.74,
2022-05-15 20:00:00,0.188,3.84,2.97,
2022-05-15 22:00:00,2.20,3.86,1.07,
2022-05-16 00:00:00,3,3.85,0,
2022-05-16 02:00:00,3.04,3.85,0,
2022-05-16 04:00:00,2.92,3.85,0.00800,
2022-05-16 06:00:00,2.62,3.85,0.628,
2022-05-16 08:00:00,1.55,3.84,3.26,
2022-05-16 10:00:00,0.281,3.74,5.53,
2022-05-16 12:00:00,0.227,3.78,5.64,
2022-05-16 14:00:00,0.320,3.81,5.69,
2022-05-16 16:00:00,0.0625,3.77,5.24,
2022-05-16 18:00:00,1.06,3.73,3.36,
2022-05-16 20:00:00,3.46,3.75,0.410,
2022-05-16 22:00:00,3.51,3.75,0,
2022-05-17 00:00:00,3.48,3.75,0,
2022-05-17 02:00:00,3.41,3.75,0,
2022-05-17 04:00:00,3.45,3.77,0.00600,
2022-05-17 06:00:00,2.62,3.74,0.956,
2022-05-17 08:00:00,0.398,3.76,4.14,
2022-05-17 10:00:00,0.0156,3.74,5.54,
2022-05-17 12:00:00,0.00781,3.76,8.61,
2022-05-17 14:00:00,0.00781,3.76,9.06,
2022-05-17 16:00:00,0.0156,3.73,7.54,
2022-05-17 18:00:00,0.0938,3.80,4.94,
2022-05-17 20:00:00,1.50,3.84,2.97,
2022-05-17 22:00:00,3.48,3.87,0.0680,
2022-05-18 00:00:00,3.41,3.83,0,
2022-05-18 02:00:00,3.51,3.82,0.0160,
2022-05-18 04:00:00,3.45,3.82,0.0100,
2022-05-18 06:00:00,2.76,3.82,0.860,
2022-05-18 08:00:00,0.438,3.80,4.35,
2022-05-18 10:00:00,0.0156,3.78,6.72,
2022-05-18 12:00:00,0,3.88,9.36,
2022-05-18 14:00:00,0,3.92,9.72,
2022-05-18 16:00:00,0.00781,4.18,7.62,
2022-05-18 18:00:00,0.172,4.30,5.45,
2022-05-18 20:00:00,2.45,4.30,2.52,
2022-05-18 22:00:00,3.76,4.30,0,
2022-05-19 00:00:00,3.61,4.30,0,
2022-05-19 02:00:00,3.52,4.26,0.0180,
2022-05-19 04:00:00,3.48,4.27,0,
2022-05-19 06:00:00,2.72,4.27,0.834,
2022-05-19 08:00:00,0.727,4.27,4.23,
2022-05-19 10:00:00,0.0156,4.28,6.71,
2022-05-19 12:00:00,0,4.27,8.19,
2022-05-19 14:00:00,0.0156,4.26,8.47,
2022-05-19 16:00:00,0.0938,4.23,7.02,
2022-05-19 18:00:00,0.633,4.19,5.32,
2022-05-19 20:00:00,3.75,3.93,1.01,
2022-05-19 22:00:00,3.54,4.17,0,
2022-05-20 00:00:00,3.49,4.23,0,
2022-05-20 02:00:00,3.38,4.22,0.00800,
2022-05-20 04:00:00,3.31,4.16,0.0140,
2022-05-20 06:00:00,2.66,4.11,0.730,
2022-05-20 08:00:00,0.414,3.96,3.88,
2022-05-20 10:00:00,0,4.02,6.18,
2022-05-20 12:00:00,0,4.23,9.37,
2022-05-20 14:00:00,0.148,4.23,8.52,
2022-05-20 16:00:00,0.672,4.20,5.11,
2022-05-20 18:00:00,2.25,4.13,3.07,
2022-05-20 20:00:00,4.43,4.16,0.152,
2022-05-20 22:00:00,3.67,4.16,0,
2022-05-21 00:00:00,3.53,4.16,0.0160,
2022-05-21 02:00:00,3.34,4.18,0.0100,
2022-05-21 04:00:00,3.18,4.14,0.00800,
2022-05-21 06:00:00,1.98,4.13,0.984,
2022-05-21 08:00:00,0.242,4.16,3.20,
2022-05-21 10:00:00,0.0234,4.20,4.58,
2022-05-21 12:00:00,0,4.20,9.35,
2022-05-21 14:00:00,0.00781,3.92,9.67,
2022-05-21 16:00:00,0.00781,3.73,6.15,
2022-05-21 18:00:00,0.0469,3.73,3.80,
2022-05-21 20:00:00,0.172,3.74,3.07,
2022-05-21 22:00:00,2.70,3.76,0.664,
2022-05-22 00:00:00,3.11,3.77,0,
2022-05-22 02:00:00,3.02,3.75,0.00800,
2022-05-22 04:00:00,3.01,3.73,0.0100,
2022-05-22 06:00:00,2.02,3.73,0.862,
2022-05-22 08:00:00,0.109,3.75,3.19,
2022-05-22 10:00:00,0,3.75,6.51,
2022-05-22 12:00:00,0,3.76,10.7,
2022-05-22 14:00:00,0,3.74,9.44,
2022-05-22 16:00:00,0.0234,3.75,4.51,
2022-05-22 18:00:00,0.109,3.73,3.22,
2022-05-22 20:00:00,1.38,3.73,2.11,
2022-05-22 22:00:00,3.28,3.75,0,
2022-05-23 00:00:00,3.34,3.75,0,
2022-05-23 02:00:00,3.14,3.76,0.0180,
2022-05-23 04:00:00,3.16,3.73,0,
2022-05-23 06:00:00,3.08,3.68,0.334,
2022-05-23 08:00:00,1.70,3.90,3.01,
2022-05-23 10:00:00,0.117,4.03,6.01,
